Donor,Donor SMILES,SMILES,HOMO,LUMO,optbg,wavelength_film,wavelength_soln
PBDTS-Se-TAZ,CCSc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(-c7cc8c(-c9ccc(SCC)[se]9)c9sc(-c%10ccc(-c%11c(F)c(F)c(-c%12ccc(-c%13cc%14c(-c%15ccc(SCC)[se]%15)c%15sc(-c%16ccc(-c%17c(F)c(F)c(-c%18cccs%18)c%18nn(CC)nc%17%18)s%16)cc%15c(-c%15ccc(SCC)[se]%15)c%14s%13)s%12)c%12nn(CC)nc%11%12)s%10)cc9c(-c9ccc(SCC)[se]9)c8s7)s6)c6nn(CC)nc56)s4)sc3c(-c3ccc(SCC)[se]3)c3ccsc23)[se]1,CCSc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(-c7cc8c(-c9ccc(SCC)[se]9)c9sc(-c%10ccc(-c%11c(F)c(F)c(-c%12ccc(-c%13cc%14c(-c%15ccc(SCC)[se]%15)c%15sc(-c%16ccc(-c%17c(F)c(F)c(-c%18cccs%18)c%18nn(CC)nc%17%18)s%16)cc%15c(-c%15ccc(SCC)[se]%15)c%14s%13)s%12)c%12nn(CC)nc%11%12)s%10)cc9c(-c9ccc(SCC)[se]9)c8s7)s6)c6nn(CC)nc56)s4)sc3c(-c3ccc(SCC)[se]3)c3ccsc23)[se]1,-5.29,-3.52,1.9,602.0,592.0
J52-Cl,CCc1sc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(-c7cc8c(-c9cc(Cl)c(CC)s9)c9sc(-c%10ccc(-c%11c(F)c(F)c(-c%12ccc(-c%13cc%14c(-c%15cc(Cl)c(CC)s%15)c%15sc(-c%16ccc(-c%17c(F)c(F)c(-c%18cccs%18)c%18nn(CC)nc%17%18)s%16)cc%15c(-c%15cc(Cl)c(CC)s%15)c%14s%13)s%12)c%12nn(CC)nc%11%12)s%10)cc9c(-c9cc(Cl)c(CC)s9)c8s7)s6)c6nn(CC)nc56)s4)sc3c(-c3cc(Cl)c(CC)s3)c3ccsc23)cc1Cl,CCc1sc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(-c7cc8c(-c9cc(Cl)c(CC)s9)c9sc(-c%10ccc(-c%11c(F)c(F)c(-c%12ccc(-c%13cc%14c(-c%15cc(Cl)c(CC)s%15)c%15sc(-c%16ccc(-c%17c(F)c(F)c(-c%18cccs%18)c%18nn(CC)nc%17%18)s%16)cc%15c(-c%15cc(Cl)c(CC)s%15)c%14s%13)s%12)c%12nn(CC)nc%11%12)s%10)cc9c(-c9cc(Cl)c(CC)s9)c8s7)s6)c6nn(CC)nc56)s4)sc3c(-c3cc(Cl)c(CC)s3)c3ccsc23)cc1Cl,-5.39,-3.45,,,
PBDB-T2F,CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F,CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F,,,,,
PTBB-m,CCSc1cccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cccc(SCC)c9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cccc(SCC)c%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cccc(SCC)c%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cccc(SCC)c9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cccc(SCC)c3)c3ccsc23)c1,CCSc1cccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cccc(SCC)c9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cccc(SCC)c%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cccc(SCC)c%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cccc(SCC)c9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cccc(SCC)c3)c3ccsc23)c1,-5.48,-3.42,1.88,600.0,
H14,CCOC(=O)/C(C#N)=C\c1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6cc(Cl)c(CC)s6)c6sc(-c7ccc(-c8c(F)c(F)c(-c9ccc(/C=C(\C#N)C(=O)OCC)s9)c9nn(CC)nc89)s7)cc6c(-c6cc(Cl)c(CC)s6)c5s4)s3)c3nn(CC)nc23)s1,CCOC(=O)/C(C#N)=C\c1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6cc(Cl)c(CC)s6)c6sc(-c7ccc(-c8c(F)c(F)c(-c9ccc(/C=C(\C#N)C(=O)OCC)s9)c9nn(CC)nc89)s7)cc6c(-c6cc(Cl)c(CC)s6)c5s4)s3)c3nn(CC)nc23)s1,-5.46,-3.47,,,
L810,CCc1sc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(-c7cc8c(-c9cc(Cl)c(CC)s9)c9sc(-c%10ccc(-c%11c(F)c(F)c(-c%12ccc(-c%13cc%14c(-c%15cc(Cl)c(CC)s%15)c%15sc(-c%16ccc(-c%17c(F)c(F)c(-c%18cccs%18)c%18nn(CC)nc%17%18)s%16)cc%15c(-c%15cc(Cl)c(CC)s%15)c%14s%13)s%12)c%12nn(CC)nc%11%12)s%10)cc9c(-c9cc(Cl)c(CC)s9)c8s7)s6)c6nn(CC)nc56)s4)sc3c(-c3cc(Cl)c(CC)s3)c3ccsc23)cc1Cl,CCc1sc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(-c7cc8c(-c9cc(Cl)c(CC)s9)c9sc(-c%10ccc(-c%11c(F)c(F)c(-c%12ccc(-c%13cc%14c(-c%15cc(Cl)c(CC)s%15)c%15sc(-c%16ccc(-c%17c(F)c(F)c(-c%18cccs%18)c%18nn(CC)nc%17%18)s%16)cc%15c(-c%15cc(Cl)c(CC)s%15)c%14s%13)s%12)c%12nn(CC)nc%11%12)s%10)cc9c(-c9cc(Cl)c(CC)s9)c8s7)s6)c6nn(CC)nc56)s4)sc3c(-c3cc(Cl)c(CC)s3)c3ccsc23)cc1Cl,-5.57,-3.58,,,
PBDB-BzT,CCc1ccc2sc(-c3c4cc(-c5ccc(-c6sc(-c7ccc(-c8cc9c(-c%10cc%11cc(CC)ccc%11s%10)c%10sc(-c%11ccc(-c%12sc(-c%13ccc(-c%14cc%15c(-c%16cc%17cc(CC)ccc%17s%16)c%16sc(-c%17ccc(-c%18sc(-c%19cccs%19)c%19c%18C(=O)c%18c(CC)sc(CC)c%18C%19=O)s%17)cc%16c(-c%16cc%17cc(CC)ccc%17s%16)c%15s%14)s%13)c%13c%12C(=O)c%12c(CC)sc(CC)c%12C%13=O)s%11)cc%10c(-c%10cc%11cc(CC)ccc%11s%10)c9s8)s7)c7c6C(=O)c6c(CC)sc(CC)c6C7=O)s5)sc4c(-c4cc5cc(CC)ccc5s4)c4ccsc34)cc2c1,CCc1ccc2sc(-c3c4cc(-c5ccc(-c6sc(-c7ccc(-c8cc9c(-c%10cc%11cc(CC)ccc%11s%10)c%10sc(-c%11ccc(-c%12sc(-c%13ccc(-c%14cc%15c(-c%16cc%17cc(CC)ccc%17s%16)c%16sc(-c%17ccc(-c%18sc(-c%19cccs%19)c%19c%18C(=O)c%18c(CC)sc(CC)c%18C%19=O)s%17)cc%16c(-c%16cc%17cc(CC)ccc%17s%16)c%15s%14)s%13)c%13c%12C(=O)c%12c(CC)sc(CC)c%12C%13=O)s%11)cc%10c(-c%10cc%11cc(CC)ccc%11s%10)c9s8)s7)c7c6C(=O)c6c(CC)sc(CC)c6C7=O)s5)sc4c(-c4cc5cc(CC)ccc5s4)c4ccsc34)cc2c1,,,,,
PBTIBDTT,CCc1ccc(-c2c3cc(-c4cc(CC)c(-c5cc6c(=O)n(CC)c(=O)c7cc(-c8sc(-c9cc%10c(-c%11ccc(CC)s%11)c%11sc(-c%12cc(CC)c(-c%13cc%14c(=O)n(CC)c(=O)c%15cc(-c%16sc(-c%17cc%18c(-c%19ccc(CC)s%19)c%19sc(-c%20cc(CC)c(-c%21cc%22c(=O)n(CC)c(=O)c%23cc(-c%24sccc%24CC)sc%23c%22s%21)s%20)cc%19c(-c%19ccc(CC)s%19)c%18s%17)cc%16CC)sc%15c%14s%13)s%12)cc%11c(-c%11ccc(CC)s%11)c%10s9)cc8CC)sc7c6s5)s4)sc3c(-c3ccc(CC)s3)c3ccsc23)s1,CCc1ccc(-c2c3cc(-c4cc(CC)c(-c5cc6c(=O)n(CC)c(=O)c7cc(-c8sc(-c9cc%10c(-c%11ccc(CC)s%11)c%11sc(-c%12cc(CC)c(-c%13cc%14c(=O)n(CC)c(=O)c%15cc(-c%16sc(-c%17cc%18c(-c%19ccc(CC)s%19)c%19sc(-c%20cc(CC)c(-c%21cc%22c(=O)n(CC)c(=O)c%23cc(-c%24sccc%24CC)sc%23c%22s%21)s%20)cc%19c(-c%19ccc(CC)s%19)c%18s%17)cc%16CC)sc%15c%14s%13)s%12)cc%11c(-c%11ccc(CC)s%11)c%10s9)cc8CC)sc7c6s5)s4)sc3c(-c3ccc(CC)s3)c3ccsc23)s1,-5.47,-3.6,,,
PBDS-TZ,CCc1csc(-c2nc3sc(-c4cc(CC)c(-c5cc6c(-c7cc(Cl)c([Si](CC)(CC)CC)s7)c7sc(-c8sc(-c9nc%10sc(-c%11cc(CC)c(-c%12cc%13c(-c%14cc(Cl)c([Si](CC)(CC)CC)s%14)c%14sc(-c%15sc(-c%16nc%17sc(-c%18cc(CC)c(-c%19cc%20c(-c%21cc(Cl)c([Si](CC)(CC)CC)s%21)c%21sccc%21c(-c%21cc(Cl)c([Si](CC)(CC)CC)s%21)c%20s%19)s%18)nc%17s%16)cc%15CC)cc%14c(-c%14cc(Cl)c([Si](CC)(CC)CC)s%14)c%13s%12)s%11)nc%10s9)cc8CC)cc7c(-c7cc(Cl)c([Si](CC)(CC)CC)s7)c6s5)s4)nc3s2)c1,CCc1csc(-c2nc3sc(-c4cc(CC)c(-c5cc6c(-c7cc(Cl)c([Si](CC)(CC)CC)s7)c7sc(-c8sc(-c9nc%10sc(-c%11cc(CC)c(-c%12cc%13c(-c%14cc(Cl)c([Si](CC)(CC)CC)s%14)c%14sc(-c%15sc(-c%16nc%17sc(-c%18cc(CC)c(-c%19cc%20c(-c%21cc(Cl)c([Si](CC)(CC)CC)s%21)c%21sccc%21c(-c%21cc(Cl)c([Si](CC)(CC)CC)s%21)c%20s%19)s%18)nc%17s%16)cc%15CC)cc%14c(-c%14cc(Cl)c([Si](CC)(CC)CC)s%14)c%13s%12)s%11)nc%10s9)cc8CC)cc7c(-c7cc(Cl)c([Si](CC)(CC)CC)s7)c6s5)s4)nc3s2)c1,-5.41,-3.46,,,
PBB-H,CCc1ccc(-c2c3cc(-c4ccc(-c5nc6c(-c7ccc(CC)s7)c7sc(-c8ccc(-c9cc%10c(-c%11ccc(CC)s%11)c%11sc(-c%12ccc(-c%13nc%14c(-c%15ccc(CC)s%15)c%15sc(-c%16ccc(-c%17cc%18c(-c%19ccc(CC)s%19)c%19sc(-c%20ccc(-c%21nc%22c(-c%23ccc(CC)s%23)c%23sc(-c%24cccs%24)nc%23c(-c%23ccc(CC)s%23)c%22s%21)s%20)cc%19c(-c%19ccc(CC)s%19)c%18s%17)s%16)nc%15c(-c%15ccc(CC)s%15)c%14s%13)s%12)cc%11c(-c%11ccc(CC)s%11)c%10s9)s8)nc7c(-c7ccc(CC)s7)c6s5)s4)sc3c(-c3ccc(CC)s3)c3ccsc23)s1,CCc1ccc(-c2c3cc(-c4ccc(-c5nc6c(-c7ccc(CC)s7)c7sc(-c8ccc(-c9cc%10c(-c%11ccc(CC)s%11)c%11sc(-c%12ccc(-c%13nc%14c(-c%15ccc(CC)s%15)c%15sc(-c%16ccc(-c%17cc%18c(-c%19ccc(CC)s%19)c%19sc(-c%20ccc(-c%21nc%22c(-c%23ccc(CC)s%23)c%23sc(-c%24cccs%24)nc%23c(-c%23ccc(CC)s%23)c%22s%21)s%20)cc%19c(-c%19ccc(CC)s%19)c%18s%17)s%16)nc%15c(-c%15ccc(CC)s%15)c%14s%13)s%12)cc%11c(-c%11ccc(CC)s%11)c%10s9)s8)nc7c(-c7ccc(CC)s7)c6s5)s4)sc3c(-c3ccc(CC)s3)c3ccsc23)s1,-5.47,-3.47,2.0,580.0,572.0
PB3T,CCOC(=O)c1ccsc1-c1ccc(-c2sc(-c3cc4c(-c5ccc(SCC)s5)c5sc(-c6cc(C(=O)OCC)c(-c7ccc(-c8sc(-c9cc%10c(-c%11ccc(SCC)s%11)c%11sc(-c%12cc(C(=O)OCC)c(-c%13ccc(-c%14sc(-c%15cc%16c(-c%17ccc(SCC)s%17)c%17sccc%17c(-c%17ccc(SCC)s%17)c%16s%15)cc%14C(=O)OCC)s%13)s%12)cc%11c(-c%11ccc(SCC)s%11)c%10s9)cc8C(=O)OCC)s7)s6)cc5c(-c5ccc(SCC)s5)c4s3)cc2C(=O)OCC)s1,CCOC(=O)c1ccsc1-c1ccc(-c2sc(-c3cc4c(-c5ccc(SCC)s5)c5sc(-c6cc(C(=O)OCC)c(-c7ccc(-c8sc(-c9cc%10c(-c%11ccc(SCC)s%11)c%11sc(-c%12cc(C(=O)OCC)c(-c%13ccc(-c%14sc(-c%15cc%16c(-c%17ccc(SCC)s%17)c%17sccc%17c(-c%17ccc(SCC)s%17)c%16s%15)cc%14C(=O)OCC)s%13)s%12)cc%11c(-c%11ccc(SCC)s%11)c%10s9)cc8C(=O)OCC)s7)s6)cc5c(-c5ccc(SCC)s5)c4s3)cc2C(=O)OCC)s1,-5.39,-3.37,1.96,540.0,534.0
PDCBT-2F,CCOC(=O)c1cc(-c2cc(C(=O)OCC)c(-c3cc(F)c(-c4sc(-c5sc(-c6cc(C(=O)OCC)c(-c7cc(F)c(-c8sc(-c9sc(-c%10cc(C(=O)OCC)c(-c%11cc(F)cs%11)s%10)cc9C(=O)OCC)cc8F)s7)s6)cc5C(=O)OCC)cc4F)s3)s2)sc1-c1cc(F)cs1,CCOC(=O)c1cc(-c2cc(C(=O)OCC)c(-c3cc(F)c(-c4sc(-c5sc(-c6cc(C(=O)OCC)c(-c7cc(F)c(-c8sc(-c9sc(-c%10cc(C(=O)OCC)c(-c%11cc(F)cs%11)s%10)cc9C(=O)OCC)cc8F)s7)s6)cc5C(=O)OCC)cc4F)s3)s2)sc1-c1cc(F)cs1,-5.5,-3.36,1.92,592.0,501.0
PBTA-PS,CCSc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(-c7cc8c(-c9ccc(SCC)cc9)c9sc(-c%10ccc(-c%11c(F)c(F)c(-c%12ccc(-c%13cc%14c(-c%15ccc(SCC)cc%15)c%15sc(-c%16ccc(-c%17c(F)c(F)c(-c%18cccs%18)c%18nn(CC)nc%17%18)s%16)cc%15c(-c%15ccc(SCC)cc%15)c%14s%13)s%12)c%12nn(CC)nc%11%12)s%10)cc9c(-c9ccc(SCC)cc9)c8s7)s6)c6nn(CC)nc56)s4)sc3c(-c3ccc(SCC)cc3)c3ccsc23)cc1,CCSc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(-c7cc8c(-c9ccc(SCC)cc9)c9sc(-c%10ccc(-c%11c(F)c(F)c(-c%12ccc(-c%13cc%14c(-c%15ccc(SCC)cc%15)c%15sc(-c%16ccc(-c%17c(F)c(F)c(-c%18cccs%18)c%18nn(CC)nc%17%18)s%16)cc%15c(-c%15ccc(SCC)cc%15)c%14s%13)s%12)c%12nn(CC)nc%11%12)s%10)cc9c(-c9ccc(SCC)cc9)c8s7)s6)c6nn(CC)nc56)s4)sc3c(-c3ccc(SCC)cc3)c3ccsc23)cc1,-5.34,-3.4,,,
PBT1-EH,CCSc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9ccc(SCC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15ccc(SCC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15ccc(SCC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9ccc(SCC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3ccc(SCC)s3)c3ccsc23)s1,CCSc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9ccc(SCC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15ccc(SCC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15ccc(SCC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9ccc(SCC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3ccc(SCC)s3)c3ccsc23)s1,-5.43,-3.43,,,
PBDT-3TCO,CCCc1sc(-c2c3cc(-c4cc(C(=O)CC)c(-c5ccc(-c6sc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10cc(C(=O)CC)c(-c%11ccc(-c%12sc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sccc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)cc%12C(=O)CC)s%11)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)cc6C(=O)CC)s5)s4)sc3c(-c3cc(F)c(CC)s3)c3cc(-c4cc(C(=O)CC)c(-c5ccc(-c6sccc6C(=O)CC)s5)s4)sc23)cc1F,CCCc1sc(-c2c3cc(-c4cc(C(=O)CC)c(-c5ccc(-c6sc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10cc(C(=O)CC)c(-c%11ccc(-c%12sc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sccc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)cc%12C(=O)CC)s%11)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)cc6C(=O)CC)s5)s4)sc3c(-c3cc(F)c(CC)s3)c3cc(-c4cc(C(=O)CC)c(-c5ccc(-c6sccc6C(=O)CC)s5)s4)sc23)cc1F,,,,,
J61,CCSc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(-c7cc8c(-c9ccc(SCC)s9)c9sc(-c%10ccc(-c%11c(F)c(F)c(-c%12ccc(-c%13cc%14c(-c%15ccc(SCC)s%15)c%15sc(-c%16ccc(-c%17c(F)c(F)c(-c%18cccs%18)c%18nn(CC)nc%17%18)s%16)cc%15c(-c%15ccc(SCC)s%15)c%14s%13)s%12)c%12nn(CC)nc%11%12)s%10)cc9c(-c9ccc(SCC)s9)c8s7)s6)c6nn(CC)nc56)s4)sc3c(-c3ccc(SCC)s3)c3ccsc23)s1,CCSc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(-c7cc8c(-c9ccc(SCC)s9)c9sc(-c%10ccc(-c%11c(F)c(F)c(-c%12ccc(-c%13cc%14c(-c%15ccc(SCC)s%15)c%15sc(-c%16ccc(-c%17c(F)c(F)c(-c%18cccs%18)c%18nn(CC)nc%17%18)s%16)cc%15c(-c%15ccc(SCC)s%15)c%14s%13)s%12)c%12nn(CC)nc%11%12)s%10)cc9c(-c9ccc(SCC)s9)c8s7)s6)c6nn(CC)nc56)s4)sc3c(-c3ccc(SCC)s3)c3ccsc23)s1,-5.32,-3.07,1.93,600.0,
PBDT-TDZ,CCc1csc(-c2nnc(-c3cc(CC)c(-c4cc5c(-c6ccc(CC)s6)c6sc(-c7sc(-c8nnc(-c9cc(CC)c(-c%10cc%11c(-c%12ccc(CC)s%12)c%12sc(-c%13sc(-c%14nnc(-c%15cc(CC)c(-c%16cc%17c(-c%18ccc(CC)s%18)c%18sccc%18c(-c%18ccc(CC)s%18)c%17s%16)s%15)s%14)cc%13CC)cc%12c(-c%12ccc(CC)s%12)c%11s%10)s9)s8)cc7CC)cc6c(-c6ccc(CC)s6)c5s4)s3)s2)c1,CCc1csc(-c2nnc(-c3cc(CC)c(-c4cc5c(-c6ccc(CC)s6)c6sc(-c7sc(-c8nnc(-c9cc(CC)c(-c%10cc%11c(-c%12ccc(CC)s%12)c%12sc(-c%13sc(-c%14nnc(-c%15cc(CC)c(-c%16cc%17c(-c%18ccc(CC)s%18)c%18sccc%18c(-c%18ccc(CC)s%18)c%17s%16)s%15)s%14)cc%13CC)cc%12c(-c%12ccc(CC)s%12)c%11s%10)s9)s8)cc7CC)cc6c(-c6ccc(CC)s6)c5s4)s3)s2)c1,-5.35,-2.78,,,
PFOPB,CCOc1c(F)cc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(OCC)c(F)c9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(OCC)c(F)c%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(OCC)c(F)c%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(OCC)c(F)c9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(OCC)c(F)c3)c3ccsc23)cc1F,CCOc1c(F)cc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(OCC)c(F)c9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(OCC)c(F)c%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(OCC)c(F)c%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(OCC)c(F)c9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(OCC)c(F)c3)c3ccsc23)cc1F,-5.5,-3.64,,,
J91,CCc1sc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(-c7cc8c(-c9sc(CC)c(F)c9F)c9sc(-c%10ccc(-c%11c(F)c(F)c(-c%12ccc(-c%13cc%14c(-c%15sc(CC)c(F)c%15F)c%15sc(-c%16ccc(-c%17c(F)c(F)c(-c%18cccs%18)c%18nn(CC)nc%17%18)s%16)cc%15c(-c%15sc(CC)c(F)c%15F)c%14s%13)s%12)c%12nn(CC)nc%11%12)s%10)cc9c(-c9sc(CC)c(F)c9F)c8s7)s6)c6nn(CC)nc56)s4)sc3c(-c3sc(CC)c(F)c3F)c3ccsc23)c(F)c1F,CCc1sc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(-c7cc8c(-c9sc(CC)c(F)c9F)c9sc(-c%10ccc(-c%11c(F)c(F)c(-c%12ccc(-c%13cc%14c(-c%15sc(CC)c(F)c%15F)c%15sc(-c%16ccc(-c%17c(F)c(F)c(-c%18cccs%18)c%18nn(CC)nc%17%18)s%16)cc%15c(-c%15sc(CC)c(F)c%15F)c%14s%13)s%12)c%12nn(CC)nc%11%12)s%10)cc9c(-c9sc(CC)c(F)c9F)c8s7)s6)c6nn(CC)nc56)s4)sc3c(-c3sc(CC)c(F)c3F)c3ccsc23)c(F)c1F,-5.5,-3.02,2.0,,
PvBDTTAZ,CCc1csc(-c2c3ccsc3c(-c3cc(CC)c(-c4ccc(-c5c(F)c(F)c(-c6ccc(-c7sc(-c8c9ccsc9c(-c9cc(CC)c(-c%10ccc(-c%11c(F)c(F)c(-c%12ccc(-c%13sc(-c%14c%15ccsc%15c(-c%15cc(CC)c(-c%16ccc(-c%17c(F)c(F)c(-c%18cccs%18)c%18nn(CC)nc%17%18)s%16)s%15)c%15ccsc%14%15)cc%13CC)s%12)c%12nn(CC)nc%11%12)s%10)s9)c9ccsc89)cc7CC)s6)c6nn(CC)nc56)s4)s3)c3ccsc23)c1,CCc1csc(-c2c3ccsc3c(-c3cc(CC)c(-c4ccc(-c5c(F)c(F)c(-c6ccc(-c7sc(-c8c9ccsc9c(-c9cc(CC)c(-c%10ccc(-c%11c(F)c(F)c(-c%12ccc(-c%13sc(-c%14c%15ccsc%15c(-c%15cc(CC)c(-c%16ccc(-c%17c(F)c(F)c(-c%18cccs%18)c%18nn(CC)nc%17%18)s%16)s%15)c%15ccsc%14%15)cc%13CC)s%12)c%12nn(CC)nc%11%12)s%10)s9)c9ccsc89)cc7CC)s6)c6nn(CC)nc56)s4)s3)c3ccsc23)c1,-5.47,-3.42,,,
