ID,Ref,PCE_max(%),PCE_ave(%),Jsc(mA/cm2),FF,Voc(V),HOMO_n(eV),LUMO_n(eV),Eg_n(eV),n(SMILES),M (g/mol),HOMO_p(eV),LUMO_p(eV),Eg_p(eV),p(SMILES),Mw (kg/mol),Mn(kg/mol),PDI,n(labels),p(labels)
1038,468,10.14,10.01,17.66,0.626,0.888,-5.5,-3.8,1.7,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4/C(=O)c5cc6ccccc6cc5C4=C(C#N)C#N)sc3-c3sc4c(-c5ccc(SCC(CC)CCCC)cc5)c5c6c(sc5c(-c5ccc(SCC(CC)CCCC)cc5)c4c32)-c2sc(/C=C3/C(=O)c4cc5ccccc5cc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,1968.82,-5.38,-3.56,1.82,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(SCC(CCCC)CCCCCC)s6)c6sc(C)cc6c(-c6ccc(SCC(CCCC)CCCCCC)s6)c5s4)s3)c2n1,68.4,34.2,2,15,44
1039,468,4.04,3.88,9.81,0.428,0.921,-5.44,-3.74,1.7,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4/C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3sc4c(sc5c(-c6ccc(SCC(CC)CCCC)cc6)c6c7c(sc6c(-c6ccc(SCC(CC)CCCC)cc6)c54)-c4sc(/C=C5/C(=O)c6ccccc6C5=C(C#N)C#N)cc4C7(c4ccc(CCCCCC)cc4)c4ccc(CCCCCC)cc4)c32)cc1,1924.79,-5.38,-3.56,1.82,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(SCC(CCCC)CCCCCC)s6)c6sc(C)cc6c(-c6ccc(SCC(CCCC)CCCCCC)s6)c5s4)s3)c2n1,68.4,34.2,2,159,44
1040,468,6.32,6.1,13.02,0.516,0.903,-5.45,-3.77,1.68,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4/C(=O)c5cc6ccccc6cc5C4=C(C#N)C#N)sc3-c3sc4c(sc5c(-c6ccc(SCC(CC)CCCC)cc6)c6c7c(sc6c(-c6ccc(SCC(CC)CCCC)cc6)c54)-c4sc(/C=C5/C(=O)c6cc8ccccc8cc6C5=C(C#N)C#N)cc4C7(c4ccc(CCCCCC)cc4)c4ccc(CCCCCC)cc4)c32)cc1,2024.91,-5.38,-3.56,1.82,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(SCC(CCCC)CCCCCC)s6)c6sc(C)cc6c(-c6ccc(SCC(CCCC)CCCCCC)s6)c5s4)s3)c2n1,68.4,34.2,2,162,44
1041,468,9.26,9.04,16.54,0.585,0.926,-5.49,-3.76,1.73,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4/C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3sc4c(-c5ccc(SCC(CC)CCCC)cc5)c5c6c(sc5c(-c5ccc(SCC(CC)CCCC)cc5)c4c32)-c2sc(/C=C3/C(=O)c4ccccc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,1868.7,-5.4,-3.59,1.81,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5sc6c(-c7ccc(SCC(CCCC)CCCCCC)s7)c7cc(C)sc7c(-c7ccc(SCC(CCCC)CCCCCC)s7)c6c5s4)s3)c2n1,78.4,39.2,2,176,240
1042,468,10.03,9.85,18.25,0.61,0.875,-5.5,-3.8,1.7,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4/C(=O)c5cc6ccccc6cc5C4=C(C#N)C#N)sc3-c3sc4c(-c5ccc(SCC(CC)CCCC)cc5)c5c6c(sc5c(-c5ccc(SCC(CC)CCCC)cc5)c4c32)-c2sc(/C=C3/C(=O)c4cc5ccccc5cc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,1968.82,-5.4,-3.59,1.81,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5sc6c(-c7ccc(SCC(CCCC)CCCCCC)s7)c7cc(C)sc7c(-c7ccc(SCC(CCCC)CCCCCC)s7)c6c5s4)s3)c2n1,78.4,39.2,2,15,240
1043,468,11.06,10.92,17.94,0.65,0.923,-5.44,-3.74,1.7,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4/C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3sc4c(sc5c(-c6ccc(SCC(CC)CCCC)cc6)c6c7c(sc6c(-c6ccc(SCC(CC)CCCC)cc6)c54)-c4sc(/C=C5/C(=O)c6ccccc6C5=C(C#N)C#N)cc4C7(c4ccc(CCCCCC)cc4)c4ccc(CCCCCC)cc4)c32)cc1,1924.79,-5.4,-3.59,1.81,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5sc6c(-c7ccc(SCC(CCCC)CCCCCC)s7)c7cc(C)sc7c(-c7ccc(SCC(CCCC)CCCCCC)s7)c6c5s4)s3)c2n1,78.4,39.2,2,159,240
1044,468,12.47,12.25,19.5,0.692,0.905,-5.45,-3.77,1.68,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4/C(=O)c5cc6ccccc6cc5C4=C(C#N)C#N)sc3-c3sc4c(sc5c(-c6ccc(SCC(CC)CCCC)cc6)c6c7c(sc6c(-c6ccc(SCC(CC)CCCC)cc6)c54)-c4sc(/C=C5/C(=O)c6cc8ccccc8cc6C5=C(C#N)C#N)cc4C7(c4ccc(CCCCCC)cc4)c4ccc(CCCCCC)cc4)c32)cc1,2024.91,-5.4,-3.59,1.81,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5sc6c(-c7ccc(SCC(CCCC)CCCCCC)s7)c7cc(C)sc7c(-c7ccc(SCC(CCCC)CCCCCC)s7)c6c5s4)s3)c2n1,78.4,39.2,2,162,240
1045,468,6.5,6.19,13.2,0.539,0.883,-5.49,-3.76,1.73,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4/C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3sc4c(-c5ccc(SCC(CC)CCCC)cc5)c5c6c(sc5c(-c5ccc(SCC(CC)CCCC)cc5)c4c32)-c2sc(/C=C3/C(=O)c4ccccc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,1868.7,-5.32,-3.51,1.81,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5sc6c(-c7ccc(SCC(CCCC)CCCCCC)s7)c7c(sc8cc(C)sc87)c(-c7ccc(SCC(CCCC)CCCCCC)s7)c6c5s4)s3)c2n1,70.6,35.3,2,176,158
1046,468,4.95,4.7,12.72,0.432,0.863,-5.5,-3.8,1.7,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4/C(=O)c5cc6ccccc6cc5C4=C(C#N)C#N)sc3-c3sc4c(-c5ccc(SCC(CC)CCCC)cc5)c5c6c(sc5c(-c5ccc(SCC(CC)CCCC)cc5)c4c32)-c2sc(/C=C3/C(=O)c4cc5ccccc5cc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,1968.82,-5.32,-3.51,1.81,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5sc6c(-c7ccc(SCC(CCCC)CCCCCC)s7)c7c(sc8cc(C)sc87)c(-c7ccc(SCC(CCCC)CCCCCC)s7)c6c5s4)s3)c2n1,70.6,35.3,2,15,158
1047,468,6.2,5.97,13.18,0.505,0.911,-5.44,-3.74,1.7,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4/C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3sc4c(sc5c(-c6ccc(SCC(CC)CCCC)cc6)c6c7c(sc6c(-c6ccc(SCC(CC)CCCC)cc6)c54)-c4sc(/C=C5/C(=O)c6ccccc6C5=C(C#N)C#N)cc4C7(c4ccc(CCCCCC)cc4)c4ccc(CCCCCC)cc4)c32)cc1,1924.79,-5.32,-3.51,1.81,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5sc6c(-c7ccc(SCC(CCCC)CCCCCC)s7)c7c(sc8cc(C)sc87)c(-c7ccc(SCC(CCCC)CCCCCC)s7)c6c5s4)s3)c2n1,70.6,35.3,2,159,158
1048,468,5.38,5.13,11.08,0.528,0.878,-5.45,-3.77,1.68,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4/C(=O)c5cc6ccccc6cc5C4=C(C#N)C#N)sc3-c3sc4c(sc5c(-c6ccc(SCC(CC)CCCC)cc6)c6c7c(sc6c(-c6ccc(SCC(CC)CCCC)cc6)c54)-c4sc(/C=C5/C(=O)c6cc8ccccc8cc6C5=C(C#N)C#N)cc4C7(c4ccc(CCCCCC)cc4)c4ccc(CCCCCC)cc4)c32)cc1,2024.91,-5.32,-3.51,1.81,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5sc6c(-c7ccc(SCC(CCCC)CCCCCC)s7)c7c(sc8cc(C)sc87)c(-c7ccc(SCC(CCCC)CCCCCC)s7)c6c5s4)s3)c2n1,70.6,35.3,2,162,158
1049,469,9.3,9.2,15.7,0.66,0.88,-5.51,-3.78,1.73,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,1427.96,-5.23,-3.18,2.05,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117,58.5,2,21,153
1050,469,10.7,10.5,16.9,0.69,0.9,-5.51,-3.78,1.73,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,1427.96,-5.23,-3.18,2.05,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117,58.5,2,21,153
1051,470,3.82,3.82,9.43,0.532,0.78,-5.79,-4.31,1.48,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)\\C#N)C2=C/C3=CC=C(/C(C(C=C/4)=NC4=C5\\C6=CC(OCCCCCCCCCCCC)=C(OCCCCCCCCCCCC)C(OCCCCCCCCCCCC)=C6)=C7C=C/C8=C(C9=CC(OCCCCCCCCCCCC)=C(OCCCCCCCCCCCC)C(OCCCCCCCCCCCC)=C9)/C%10=N/C(C=C%10)=C(C%11=CC=C(/C=C%12C(C(C=C(F)C(F)=C%13)=C%13C\\%12=C(C#N)\\C#N)=O)S%11)\\C%14=CC=C5N%14[Zn]N8\\7)S3,2276.44,-5.24,-3.66,1.58,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124,72.9,1.7,208,48
1052,470,6.98,6.98,13.5,0.648,0.8,-5.71,-4.28,1.43,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)\\C#N)C2=C/C3=CC=C(/C(C(C=C/4)=NC4=C5\\C6=C(OCCCCCCCCCCCC)C=CC=C6OCCCCCCCCCCCC)=C7C=C/C8=C(C9=C(OCCCCCCCCCCCC)C=CC=C9OCCCCCCCCCCCC)/C%10=N/C(C=C%10)=C(C%11=CC=C(/C=C%12C(C(C=C(F)C(F)=C%13)=C%13C\\%12=C(C#N)\\C#N)=O)S%11)\\C%14=CC=C5N%14[Zn]N8\\7)S3,1907.79,-5.24,-3.66,1.58,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124,72.9,1.7,199,48
1053,470,5.48,5.48,12.07,0.567,0.77,-5.82,-4.32,1.5,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)\\C#N)C2=C/C3=CC=C(/C(C(C=C/4)=NC4=C5\\C6=CC(C(C)(C)C)=CC(C(C)(C)C)=C6)=C7C=C/C8=C(C9=CC(C(C)(C)C)=CC(C(C)(C)C)=C9)/C%10=N/C(C=C%10)=C(C%11=CC=C(/C=C%12C(C(C=C(F)C(F)=C%13)=C%13C\\%12=C(C#N)\\C#N)=O)S%11)\\C%14=CC=C5N%14[Zn]N8\\7)S3,1394.93,-5.24,-3.66,1.58,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124,72.9,1.7,246,48
1054,471,7.27,7.08,13.18,0.61,0.85,-5.46,-3.92,1.54,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(-c7cc8sc9c(c8s7)C(c7ccc(CCCCCC)cc7)(c7ccc(CCCCCC)cc7)c7cc8c(cc7-9)C(c7ccc(CCCCCC)cc7)(c7ccc(CCCCCC)cc7)c7c-8sc8cc(/C=C9\C(=O)c%10cc(F)c(F)cc%10C9=C(C#N)C#N)sc78)s6)c6nsnc56)s4)sc23)cc1,2851.86,-5.29,-3.43,1.86,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117,58.5,2,360,153
1055,471,9.13,9.01,16.69,0.64,0.81,-5.56,-3.98,1.58,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(-c4ccc(-c5c(C#N)c(C#N)c(-c6ccc(-c7cc8sc9c(c8s7)C(c7ccc(CCCCCC)cc7)(c7ccc(CCCCCC)cc7)c7cc8c(cc7-9)C(c7ccc(CCCCCC)cc7)(c7ccc(CCCCCC)cc7)c7c-8sc8cc(/C=C9\C(=O)c%10cc(F)c(F)cc%10C9=C(C#N)C#N)sc78)s6)c6nsnc56)s4)sc23)cc1,2865.9,-5.29,-3.43,1.86,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117,58.5,2,290,153
1056,472,12.8,12.5,20.7,0.708,0.85,-5.38,-4,1.38,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(-c4ccc(-c5c(C#N)c(C#N)c(-c6ccc(-c7cc8sc9c(c8s7)C(c7ccc(CCCCCC)cc7)(c7ccc(CCCCCC)cc7)c7cc8c(cc7-9)C(c7ccc(CCCCCC)cc7)(c7ccc(CCCCCC)cc7)c7c-8sc8cc(/C=C9\C(=O)c%10cc(F)c(F)cc%10C9=C(C#N)C#N)sc78)s6)c6nsnc56)s4)sc23)cc1,1866.42,-5.33,-3.53,1.8,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117,58.5,2,290,153
1057,473,14.16,14.02,25.01,0.712,0.78,-5.68,-4.06,1.62,CCCCCCCCCCCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,1451.94,-5.38,-3.24,2.14,CCCCCCCCN1C(=O)c2c(c(-c3ccc(-c4cc5c(-c6cc(F)c(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6cc(F)c(CC(CC)CCCC)s6)c5s4)s3)c3nn(CCC(CC)CCCC)nc3c2-c2ccc(C)s2)C1=O,50,25,2,242,4
1058,473,15.06,14.96,25.7,0.727,0.79,-5.68,-4.06,1.62,CCCCCCCCCCCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,1451.94,-5.46,-3.13,2.33,CCCCCCCCN1C(=O)c2c(c(-c3ccc(-c4cc5c(-c6cc(Cl)c(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6cc(Cl)c(CC(CC)CCCC)s6)c5s4)s3)c3nn(CCC(CC)CCCC)nc3c2-c2ccc(C)s2)C1=O,50,25,2,242,134
1059,473,15.65,15.5,26.11,0.733,0.81,-5.68,-4.06,1.62,CCCCCCCCCCCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,1451.94,-5.46,-3.14,2.32,CCCCCCCCN1C(=O)c2c(c(-c3ccc(-c4cc5c(-c6cc(F)c(CC(CC)CCCC)c(F)c6)c6sc(C)cc6c(-c6cc(F)c(CC(CC)CCCC)c(F)c6)c5s4)s3)c3nn(CCC(CC)CCCC)nc3c2-c2ccc(C)s2)C1=O,50,25,2,242,180
1060,474,8.61,8.44,23.41,0.553,0.66,-5.65,-4.1,1.55,CCCCCCCCCCCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,1451.94,-5.19,-3.44,1.75,CCCCCCCCOc1cccc(-c2nc3c(-c4ccc(C)s4)c(F)c(F)c(-c4ccc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)s4)c3nc2-c2cccc(OCCCCCCCC)c2)c1,55.4,18.3,3.03,242,105
1061,474,12.02,11.84,24.64,0.622,0.78,-5.65,-4.1,1.55,CCCCCCCCCCCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,1451.94,-5.37,-3.48,1.89,CCCCCCCCOc1cccc(-c2nc3c(-c4ccc(C)s4)c(F)c(F)c(-c4ccc(-c5cc6c(-c7cc(F)c(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7cc(F)c(CC(CC)CCCC)s7)c6s5)s4)c3nc2-c2cccc(OCCCCCCCC)c2)c1,54.1,17.1,3.16,242,187
1062,474,13.1,13.01,24.68,0.637,0.83,-5.65,-4.1,1.55,CCCCCCCCCCCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,1451.94,-5.41,-3.5,1.91,CCCCCCCCOc1cccc(-c2nc3c(-c4ccc(C)s4)c(F)c(F)c(-c4ccc(-c5cc6c(-c7cc(F)c(SCC(CC)CCCC)s7)c7sc(C)cc7c(-c7cc(F)c(SCC(CC)CCCC)s7)c6s5)s4)c3nc2-c2cccc(OCCCCCCCC)c2)c1,66.2,22.9,2.89,242,210
1063,475,11.05,10.63,22.44,0.646,0.73,-5.65,-4.1,1.55,CCCCCCCCCCCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,1451.94,-5.25,-3.63,1.62,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5sc6c(c5s4)C(c4ccc(CCCCCC)cc4)(c4ccc(CCCCCC)cc4)c4cc5c(cc4-6)C(c4ccc(CCCCCC)cc4)(c4ccc(CCCCCC)cc4)c4c-5sc5cc(C)sc45)s3)c2n1,66.7,23,2.9,242,261
1064,475,7.15,7.08,20.43,0.516,0.65,-5.65,-4.1,1.55,CCCCCCCCCCCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,1451.94,-5.12,-3.58,1.54,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)c2n1,170,53.1,3.2,242,131
1065,476,10.96,10.45,18.94,0.683,0.81,-5.49,-3.89,1.6,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)cc1,1499.92,-5.2,-2.93,2.27,CCCCCCCCCCC(CCCCCCCC)Cn1c(=O)c2cc(C)sc2c2sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)cc21,50,25,2,561,239
1066,476,10.04,9.66,18.72,0.623,0.83,-5.29,-3.9,1.39,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c(sc4cc5c6c(sc5cc34)-c3sc4cc(/C=C5\C(=O)c7cc(F)c(F)cc7C5=C(C#N)C#N)sc4c3C6(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)-c3sc4cc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)sc4c32)cc1,1612.08,-5.2,-2.93,2.27,CCCCCCCCCCC(CCCCCCCC)Cn1c(=O)c2cc(C)sc2c2sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)cc21,50,25,2,353,239
1067,476,6.46,6.12,16.26,0.465,0.81,-5.26,-3.9,1.36,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)Oc3c(sc4c5c(sc34)-c3sc4cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc4c3C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)O5)-c3sc4cc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)sc4c32)cc1,1594.02,-5.2,-2.93,2.27,CCCCCCCCCCC(CCCCCCCC)Cn1c(=O)c2cc(C)sc2c2sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)cc21,50,25,2,618,239
1068,477,9.95,9.87,15.4,0.71,0.88,-5.11,-3.52,1.59,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,1427.96,-5.33,-3.53,1.8,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117,58.5,2,21,153
1069,477,12.18,11.51,18.62,0.72,0.87,-5.66,-4.14,1.52,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)cc1,1499.92,-5.4,-3.6,1.8,CCCCC(CC)CSc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(SCC(CC)CCCC)s3)c3cc(C)sc23)cc1F,58.2,18.3,3.17,561,193
