ref,ref number from paper,reference link,DOI,Donor Molecule,Donor PDI,Donor Mn (kDa),Donor Mw (kDa),HOMO_D (eV),LUMO_D (eV),Ehl_D (eV),Eg_D (eV),Acceptor Molecule,HOMO_A (eV),LUMO_A (eV),Ehl_A (eV),Eg_A (eV),D:A ratio (m/m),solvent,Active layer spin coating speed (rpm),total solids conc. (mg/mL),solvent additive,solvent additive conc. (% v/v),active layer thickness (nm),temperature of thermal annealing,annealing time (min),hole contact layer,HTL energy level (eV),HTL thickness (nm),electron contact layer,ETL enegy level (eV),ETL thickness (nm),hole mobility blend (cm^2 V^-1 s^-1),electron mobility blend (cm^2 V^-1 s^-1),effective mobility,Langevin prefactor,Voc vs ln(I) slope,Voc (V),Jsc (mA cm^-2),FF (%),PCE (%),calc_PCE
348,180,link,10.1002/solr.201800291,PB68-3TDC,1.94,35,,-5.41,-3.57,-1.84,1.92,ITIC-Th,-5.66,-3.93,-1.73,,1:1.5,CB,,,DIO,0.3,,25,0,PEDOT:PSS,,,C60-bissalt,,,,,,,,0.994,12.2,65,7.88,788.242
349,181,link,10.1016/j.dyepig.2018.11.027,PBDB-T,,,,-5.33,-2.92,-2.41,,IDNO-IDT,-5.45,-3.65,-1.8,1.95,1:1,CB,,20,_,0,,140,10,PEDOT:PSS,,,Ca,,,3.18E-04,2.35E-07,,,,1.03,2.65,34.47,1.10,94.085865
350,181,link,10.1016/j.dyepig.2018.11.027,PBDB-T,,,,-5.33,-2.92,-2.41,,IM1-IDT,-5.46,-4.02,-1.44,1.48,1:1.5,CB,,20,_,0,,140,10,PEDOT:PSS,,,Ca,,,6.55E-05,8.37E-07,,,,0.55,5.07,47.41,1.62,132.202785
351,181,link,10.1016/j.dyepig.2018.11.027,PBDB-T,,,,-5.33,-2.92,-2.41,,ITAN-IDT,-5.42,-3.69,-1.73,1.68,1.5:1,CB,,20,_,0,,140,10,PEDOT:PSS,,,Ca,,,7.33E-05,1.00E-06,,,,1.18,3.71,39.19,2.00,171.565982
352,182,link,10.1007/s11426-018-9408-7,PBDT-3TCO,2.1,18.9,,-5.5,-3.24,-2.26,1.85,IT-4F,,,0,,1:1,CB,,10,DIO,0.5,95,25,0,PEDOT:PSS,,,PFN-Br,,,1.89E-04,1.16E-04,,,,0.88,20.96,62.7,11.52,1156.48896
353,182,link,10.1007/s11426-018-9408-7,PBDT-3T,1.7,21.9,,-5.48,-3.21,-2.27,1.99,IT-4F,,,0,,1:1.5,CB,,10,DIO,0.5,95,25,0,PEDOT:PSS,,,PFN-Br,,,9.50E-07,2.63E-06,,,,0.85,3.89,30.43,1.00,100.616795
354,183,link,10.1039/C7TA10957A,PTB7-Th,,,,-5.22,-3.64,-1.58,,NFDTS,-5.36,-3.92,-1.44,1.41,1:1.2,CF,,20,_,0,100,25,0,PEDOT:PSS,,30,PFN-Br,,5,7.21E-05,3.94E-06,,,,0.67,18.77,48.9,6.15,614.96151
355,183,link,10.1039/C7TA10957A,PTB7-Th,,,,-5.22,-3.64,-1.58,,NFDTSB,-5.56,-3.85,-1.71,1.4,1:1,CF,,20,_,0,100,25,0,PEDOT:PSS,,30,PFN-Br,,5,1.58E-04,9.30E-05,,,,0.75,20.14,63.6,9.60,960.678
356,184,link,10.1002/aenm.201801387,PBTIBDTT,,,,-5.47,-3.6,-1.87,1.87,ITIC-F,-5.64,-4.03,-1.61,1.61,1:1,CB,1700,16,_,0,120,25,0,PEDOT:PSS,,30,ZnO,,,1.73E-04,2.08E-04,,,,0.921,16.4,74.1,11.19,1119.23604
357,185,link,10.3389/fchem.2018.00427,PBDB-T,,,,-5.33,-2.92,-2.41,,DTNIF,-5.82,-3.92,-1.9,1.63,1:1,CB,,18,_,0,,25,0,MoOx,,10,ZnO,,30,1.87E-05,1.79E-05,,,,0.9,13.26,72.77,8.73,868.43718
358,185,link,10.3389/fchem.2018.00427,PBDB-T,,,,-5.33,-2.92,-2.41,,DTNSF,-5.52,-4,-1.52,1.47,1:1,CB,,18,_,0,,25,0,MoOx,,10,ZnO,,30,1.35E-05,6.70E-06,,,,0.92,14.49,54.62,7.15,728.128296
359,186,link,10.1039/C8TC04883E,PBTIBDTT,2.06,44,,-5.47,-3.6,-1.87,1.87,Si4TIC-F,-5.58,-4.21,-1.37,1.37,1:1.5,CB,2000,12.5,CN,0.5,130,25,0,PEDOT:PSS,,30,PDIN,,,2.00E-04,1.23E-04,,,,0.78,18.84,69.4,10.20,1019.84688
360,187,link,10.1002/cjoc.201800015,PDCBT-2F,,,,-5.6,-3.67,-1.93,1.93,IT-4F,-5.67,-4.16,-1.51,1.54,1:1,CF,,16,DIO,0.5,95,25,0,MoOx,,10,ZnO,,,1.00E-04,1.20E-04,,,,0.92,17.8,69,11.60,1129.944
361,188,link,10.1021/acsami.8b04541,PTB7-Th,,,,,,0,,IDT-FBTR,-5.47,-3.65,-1.82,1.67,1.5:1,o-DCB,,20,_,0,,25,0,MoOx,,3,ZnO,,30,3.10E-04,6.80E-05,,,,1.02,12.95,52.97,7.01,699.68073
362,189,link,10.1039/C8TA05207G,PBT-F,1.83,14.7,,-5.39,-3.65,-1.74,1.77,IT-4F,-5.66,-4.14,-1.52,,1:1,,,,NMP,1,95,25,0,PEDOT:PSS,,,PFN-Br,,,1.29E-04,7.67E-05,,,,0.78,21.57,54.5,9.14,916.9407
363,189,link,10.1039/C8TA05207G,PBT-SF,3.02,12.5,,-5.46,-3.58,-1.88,1.76,IT-4F,-5.66,-4.14,-1.52,,1:1.5,,,,NMP,1,80,25,0,PEDOT:PSS,,,PFN-Br,,,2.36E-04,1.18E-04,,,,0.8,21.53,60.6,10.51,1043.7744
364,190,link,10.1002/solr.201800129,PBT1-C-MW,2.1,38.3,,-5.46,-3.4,-2.06,1.83,ITCPTC,-5.62,-3.96,-1.66,,1:1,CF,2000,16,_,0,110,100,5,PEDOT:PSS,,,ZrAcAc,,,1.40E-03,2.30E-03,,,,0.94,17.2,79,12.80,1277.272
365,191,link,10.3389/fchem.2018.00303,PTZPF,2.2,13.2,29.04,-5.41,-3.42,-1.99,2,BT-IC,-5.55,-3.88,-1.67,1.43,1:1,CB,,,CN,0.5,100,120,10,PEDOT:PSS,,30,PFN-Br,,5,,,,,,0.93,12.27,49,5.63,559.1439
366,191,link,10.3389/fchem.2018.00303,PTZPF,2.2,13.2,29.04,-5.41,-3.42,-1.99,2,BT-F,-5.57,-3.97,-1.6,1.42,1:1,CB,,,CN,0.5,100,120,10,PEDOT:PSS,,30,PFN-Br,,5,,,,,,0.88,16.64,49,7.27,717.5168
367,191,link,10.3389/fchem.2018.00303,PTZPF,2.2,13.2,29.04,-5.41,-3.42,-1.99,2,BT-2F,-5.6,-4,-1.6,1.41,1:1,CB,,,CN,0.5,100,120,10,PEDOT:PSS,,30,PFN-Br,,5,,,,,,0.84,19.29,53,8.54,858.7908
368,192,link,10.1021/acsami.8b10312,P3HT,,,,-5,-3.1,-1.9,,BT3,-5.53,-3.79,-1.74,1.59,1:0.3,CF,,,_,0,,120,,PEDOT:PSS,,,Ca,,20,4.79E-07,1.25E-06,,,,0.72,5.81,61,2.55,255.1752
369,192,link,10.1021/acsami.8b10312,P3HT,,,,-5,-3.1,-1.9,,BTA3,-5.34,-3.28,-2.06,1.76,1:0.5,CF,,,_,0,,130,,PEDOT:PSS,,,Ca,,20,1.60E-06,1.75E-04,,,,0.9,9.64,65,5.64,563.94
370,193,link,10.1021/acsami.8b00216,P3HT,,,,-5,-3.1,-1.9,,Qx1,-5.42,-3.6,-1.82,1.74,1:0.6,o-DCB,,,CN,1,,100,10,PEDOT:PSS,,,Ca,,20,5.20E-07,7.50E-07,,,,1,6.02,67,4.03,403.34
371,193,link,10.1021/acsami.8b00216,P3HT,,,,-5,-3.1,-1.9,,Qx1b,-5.35,-3.66,-1.69,1.68,0.8:1,o-DCB,,,CN,0.5,,100,10,PEDOT:PSS,,,Ca,,20,3.30E-05,1.10E-05,,,,0.95,7.34,69,4.81,481.137
372,194,link,10.1039/C7TA07501D,PTZ1,,,,-5.31,-3.34,-1.97,1.97,ITIC,,,0,,1:1.5,,,,_,0,90,110,10,MoOx,,10,ZnO,,30,9.66E-05,5.20E-05,,,,1,14.04,65.5,9.25,919.62
373,195,correct link,10.1002/cjoc.201700792,P3HT,,,,-5,-3.1,-1.9,,BTA21,-5.76,-3.56,-2.2,2.19,1:1,CF,,,_,0,,100,,PEDOT:PSS,,,Ca,,20,,,,,,1.07,5.35,43,2.46,246.1535
374,195,link,10.1002/cjoc.201700792,P3HT,,,,-5,-3.1,-1.9,,BTA23,-5.7,-3.57,-2.13,2.15,1:1,CF,,,_,0,,120,,PEDOT:PSS,,,Ca,,20,1.17E-07,1.02E-06,,,,0.9,3.98,52,1.86,186.264
375,195,link,10.1002/cjoc.201700792,P3HT,,,,-5,-3.1,-1.9,,BTA27,-6.08,-3.81,-2.27,2.21,1:1,CF,,,_,0,,100,,PEDOT:PSS,,,Ca,,20,3.00E-04,2.16E-07,,,,0.6,2.89,36,0.62,62.424
376,196,link,10.1039/C7TC04750A,PBDTTz-BP,2.31,35,80.85,-5.25,-3.49,-1.76,1.93,ITIC,-5.48,-3.83,-1.65,,1:1,CB,,19.5,_,0,100,25,0,PEDOT:PSS,,30,Ca,,10,1.32E-04,3.80E-05,,,,0.81,17.7,56,8.03,802.872
377,196,link,10.1039/C7TC04750A,PBDTTz-N,3.53,27,95.31,-5.23,-3.52,-1.71,1.95,ITIC,-5.48,-3.83,-1.65,,1:1,CB,,19.5,_,0,100,25,0,PEDOT:PSS,,30,Ca,,10,1.25E-05,3.41E-04,,,,0.75,18,49,6.61,661.5
378,197,link,10.1002/aenm.201702870,PBDB-T,,,,-5.18,-3.38,-1.8,,F-H,-5.42,-3.79,-1.63,1.63,1:1.2,,,,,,,,,PEDOT:PSS,,40,PDINO,,,3.37E-05,2.40E-05,,,,0.94,15.02,67,9.59,945.9596
379,197,link,10.1002/aenm.201702870,PBDB-T,,,,-5.18,-3.38,-1.8,,F-F,-5.72,-4.13,-1.59,1.59,1:1.2,CB,,,DIO,0.3,150,25,0,PEDOT:PSS,,40,PDINO,,,3.39E-04,1.03E-04,,,,0.88,17.36,71,10.85,1084.6528
380,197,link,10.1002/aenm.201702870,PBDB-T,,,,-5.18,-3.38,-1.8,,F-Cl,-5.62,-4.04,-1.58,1.58,1:1,CB,,,DIO,0.1,150,25,0,PEDOT:PSS,,40,PDINO,,,3.63E-04,1.15E-04,,,,0.87,17.61,75,11.47,1149.0525
381,197,link,10.1002/aenm.201702870,PBDB-T,,,,-5.18,-3.38,-1.8,,F-Br,-5.62,-4.06,-1.56,1.56,1:1,CB,,,DIO,0.3,150,25,0,PEDOT:PSS,,40,PDINO,,,3.71E-04,1.48E-04,,,,0.87,18.22,76,12.05,1204.7064
382,198,link,10.1039/C8QM00318A,PBDB-T,,,,-5.33,-3.53,-1.8,,DF-PCNC,-5.42,-3.81,-1.61,1.54,1:1.2,CF,2000,20,CN,1.2,100,100,10,MoOx,,10,ZnO,,,6.51E-04,1.97E-04,,,,0.86,18.16,72.62,11.63,1134.150112
383,198,link,10.1039/C8QM00318A,PBDB-T,,,,-5.33,-3.53,-1.8,,DF-PCIC,-5.49,-3.77,-1.72,1.59,1:1.2,CF,,20,CN,0.5,100,130,10,MoOx,,10,ZnO,,,1.28E-04,2.60E-05,,,,0.91,15.66,72.07,10.14,1027.040742
384,199,link,10.1039/C7TA10391C,PTB7-Th,,,,-5.22,-3.64,-1.58,1.58,ITCT,-5.62,-3.92,-1.7,,1:1.2,CF,,15,DIO,0.1,110,80,10,MoOx,-5.4,10,ZnO/PFN,-4.4,30,4.37E-04,3.91E-04,,,,0.95,15.13,72,10.42,1034.892
385,199,correct link,10.1002/adma.201404317,PTB7-Th,,,,-5.22,-3.64,-1.58,1.58,ITIC,-5.48,-3.83,-1.65,,1:1.3,CF,1000,25,_,0,100,25,0,PEDOT:PSS,,30,PDIN,,14,4.30E-05,1.10E-04,,,,0.81,14.21,59,6.80,679.0959
386,199,link,10.1039/C7TA10391C,PTB7-Th,,,,-5.22,-3.64,-1.58,1.58,IDIC,-5.69,-3.91,-1.78,,1:1,CF,3000,12,_,0,100,25,0,MoOx,,5,ZnO,,,2.10E-05,1.70E-04,,,,0.81,10.9,56,5.24,494.424
387,199,link,10.1039/C7TA10391C,PTB7-Th,,,,-5.22,-3.64,-1.58,1.58,IEICO-4F,-5.44,-4.19,-1.25,1.24,1:1.5,CB,,25,_,0,100,100,10,PEDOT:PSS,,10,PFN-Br,,5,,,,,,0.74,22.8,59,10.00,995.448
388,199,link,10.1039/C7TA10391C,PTB7-Th,,,,-5.22,-3.64,-1.58,1.58,SFBRCN,-5.93,-3.86,-2.07,2.05,1:1.2,CB,2000,22,DIO,0.75,100,25,0,MoOx,,10,ZnO,,30,1.50E-04,2.20E-04,,,,0.9,17.25,65,10.12,1009.125
389,200,link,10.1038/s41467-018-03207-x,PTQ10,2.1,39.1,82.11,-5.54,-2.98,-2.56,1.92,IDIC,-5.74,-3.9,-1.84,,1:1,CF,3500,,_,0,130,140,5,PEDOT:PSS,-5.1,,PDINO,-3.63,10,5.04E-04,6.72E-04,,,,0.969,17.81,73.6,12.70,1270.180704
390,201,link,10.1002/adfm.201802895,PBDB-T,1.7109375,128,219,-5.33,-3.29,-2.04,,IDTIC,-5.85,-3.89,-1.96,1.68,1:1,CB,,20,_,0,150,25,0,MoOx,,10,ZnO/PFN-Br,,50,2.56E-04,5.51E-05,,,,0.84,12.7,56.3,5.67,600.6084
391,201,link,10.1002/adfm.201802895,PBDB-T,1.7109375,128,219,-5.33,-3.29,-2.04,,IDTTIC,-5.68,-3.84,-1.84,1.51,1:1,CB,,20,_,0,146,25,0,MoOx,,10,ZnO/PFN-Br,,50,3.38E-04,1.15E-04,,,,0.919,17.3,70.4,11.20,1119.26848
392,202,link,10.1002/aelm.201700358,PTB7-Th,,,,,,0,,ITIC,,,0,,1:1.2,CB,1500,20,_,0,90,25,0,MoOx,,5,ZnO,,35,,,,,,0.822,14,66.2,7.62,761.8296
393,203,link,10.1039/C8QM00223A,P3HT,,,,-4.87,-2.97,-1.9,,DTFBR,-5.54,-3.68,-1.86,1.74,1:1,o-DCB,,15,_,0,110,100,10,PEDOT:PSS,,40,ZrAcAc,,,,,,,,0.71,8.15,62,3.68,358.763
394,204,link,10.1039/C8TA07334A,PBT1-C,1.8,34.2,,-5.43,-3.36,-2.07,1.84,TPT-2F,-5.84,-4.06,-1.78,1.64,1:1,CF,,,DIO,0.25,,100,10,MoOx,,3,ZnO,,,3.51E-04,7.10E-05,,,,0.874,13.89,68.6,8.33,832.794396
395,205,link,10.1002/adfm.201802324,PBDB-T,,,,-5.33,-3.53,-1.8,,4TIC-4F,-5.6,-4.21,-1.39,1.32,1:1,CB,3200,20,_,0,100,130,10,PEDOT:PSS,,,C60-bissalt,,,6.38E-05,2.23E-04,,,,0.652,21.5,57,7.99,799.026
396,205,link,10.1002/adfm.201802324,PBDB-T,,,,-5.33,-3.53,-1.8,,6TIC-4F,-5.45,-4.14,-1.31,1.24,1:1,CB,3200,20,_,0,100,25,0,PEDOT:PSS,,,C60-bissalt,,,7.94E-05,4.52E-04,,,,0.723,23,67,11.14,1114.143
397,206,link,10.1021/acsaem.8b00851,PBDB-T,,,,-5.21,-3.41,-1.8,,ITBTR-C2,-5.3,-3.7,-1.6,1.52,1:1,CB,800,15,DIO,0.3,,25,0,MoOx,,10,ZnO,,,3.21E-06,8.62E-05,,,,0.89,13.38,58.42,6.96,695.677044
398,206,link,10.1021/acsaem.8b00851,PBDB-T,,,,-5.21,-3.41,-1.8,,ITBTR-C4,-5.3,-3.71,-1.59,1.52,1:1,CB,800,,DIO,0.3,,25,0,MoOx,,10,ZnO,,,1.92E-05,2.36E-05,,,,0.9,14.75,54.15,7.33,718.84125
399,206,link,10.1021/acsaem.8b00851,PBDB-T,,,,-5.21,-3.41,-1.8,,ITBTR-C6,-5.3,-3.71,-1.59,1.52,1:1,CB,800,,DIO,0.3,,25,0,MoOx,,10,ZnO,,,5.97E-05,6.55E-05,,,,0.89,15.72,57.83,8.18,809.087964
400,206,link,10.1021/acsaem.8b00851,PBDB-T,,,,-5.21,-3.41,-1.8,,ITBTR-C8,-5.28,-3.7,-1.58,1.49,1:1,CB,800,,DIO,0.3,,25,0,MoOx,,10,ZnO,,,2.75E-05,3.43E-05,,,,0.9,14.74,58.47,7.85,775.66302
401,207,link,10.1021/acsami.8b15923,PBDB-T2Cl,2.32,42.7,99.064,-5.51,-3.57,-1.94,1.69,IDIC-4H,-5.7,-3.87,-1.83,1.69,1:1,CB,800,10,DIO,0.3,,25,0,MoOx,,10,ZnO,,,7.70E-05,3.80E-05,,,,0.98,10.32,45.3,4.57,458.14608
402,207,link,10.1021/acsami.8b15923,PBDB-T2Cl,2.32,42.7,99.064,-5.51,-3.57,-1.94,1.69,IDIC-4F,-5.73,-3.93,-1.8,1.66,1:1,CB,800,10,DIO,0.3,,25,0,MoOx,,10,ZnO,,,1.10E-04,6.00E-05,,,,0.88,13,61.91,7.10,708.2504
403,207,link,10.1021/acsami.8b15923,PBDB-T2Cl,2.32,42.7,99.064,-5.51,-3.57,-1.94,1.69,IDIC-4Cl,-5.78,-4.02,-1.76,1.58,1:1,CB,800,10,DIO,0.3,,25,0,MoOx,,10,ZnO,,,3.90E-04,2.70E-04,,,,0.83,16.21,68.69,9.24,924.175867
404,208,link,10.1039/C8TA00368H,PBDB-T,2.68,18.8,50.384,-5.3,-3.41,-1.89,,IT-M,-5.3,-3.35,-1.95,,1:1,CB,3000,10,_,0,100,100,10,PEDOT:PSS,,30,PFN-Br,,10,2.69E-04,3.79E-04,,,,0.95,17.13,72,11.74,1171.692
405,208,link,10.1039/C8TA00368H,PBDB-T-BO,2.26,12.7,28.702,-5.38,,-5.38,1.75,IT-M,-5.3,-3.35,-1.95,,1:1,THF,3000,8,_,0,100,100,10,PEDOT:PSS,,30,PFN-Br,,10,1.70E-04,1.70E-04,,,,0.97,15.77,71,10.78,1086.0799
406,208,link,10.1039/C8TA00368H,PBDB-BzT,2.03,13.5,27.405,-5.36,,-5.36,1.75,IT-M,-5.3,-3.35,-1.95,,1:1,THF,3000,8,_,0,100,100,10,PEDOT:PSS,,30,PFN-Br,,10,1.68E-04,1.22E-04,,,,0.96,17.97,70,12.10,1207.584
407,209,link,10.1016/j.orgel.2018.10.005,PTB7-Th,,,,-5.15,-3.43,-1.72,1.59,IDT-BT-R2,-5.31,-3.7,-1.61,1.68,1:1.5,,1400,25,_,0,98,150,30,PEDOT:PSS,,40,Ca,,8,1.22E-03,9.06E-05,,,,1.04,13.75,62.76,8.96,897.468
408,209,link,10.1016/j.orgel.2018.10.005,PTB7-Th,,,,-5.15,-3.43,-1.72,1.59,IDT-BT-RF3,-5.35,-3.78,-1.57,1.64,1:2,,1300,24,_,0,96,150,30,PEDOT:PSS,,40,Ca,,8,1.80E-03,1.27E-04,,,,0.89,14.74,59.16,7.75,776.096376
409,209,link,10.1016/j.orgel.2018.10.005,PTB7-Th,,,,-5.15,-3.43,-1.72,1.59,IDT-BT-RO,-5.33,-3.74,-1.59,1.66,1:1.5,,1200,20,_,0,101,150,30,PEDOT:PSS,,40,Ca,,8,1.29E-03,9.13E-05,,,,1.02,13.75,60.81,8.57,852.86025
410,209,link,10.1016/j.orgel.2018.10.005,PTB7-Th,,,,-5.15,-3.43,-1.72,1.59,IDT-BT-RN,-5.26,-3.62,-1.64,1.71,1:1.5,,1300,20,_,0,105,150,30,PEDOT:PSS,,40,Ca,,8,1.36E-03,8.76E-05,,,,1.1,12.04,53.67,7.09,710.80548
411,210,link,10.1016/j.dyepig.2018.11.040,PBDB-T,,,,-5.33,-2.92,-2.41,,IDT-O-IC,-5.7,-3.79,-1.91,1.69,1:1.2,o-DCB,1200,8.8,_,0,100,25,0,MoOx,,8.5,ZnO,,40,2.28E-05,3.63E-05,,,,0.83,10.32,55,4.74,471.108
412,210,link,10.1016/j.dyepig.2018.11.040,PBDB-T,,,,-5.33,-2.92,-2.41,,spiro-IDT-O-IC,-5.68,-3.79,-1.89,1.66,1:1.8,o-DCB,1200,11.2,_,0,100,25,0,MoOx,,8.5,ZnO,,40,3.66E-05,5.24E-05,,,,0.84,11.76,63,6.23,622.3392
413,211,link,10.1016/j.dyepig.2018.08.039,PBDB-T,,,,-5.33,-2.92,-2.41,,ICBF-O,-5.7,-3.75,-1.95,1.9,1:1,CB,,20,_,0,100,25,0,PEDOT:PSS,,40,PDINO,,,,,,,,1.06,6.82,42.6,3.11,307.96392
414,211,link,10.1016/j.dyepig.2018.08.039,PBDB-T,,,,-5.33,-2.92,-2.41,,ICBF,-5.64,-3.8,-1.84,1.8,1:1,CB,,20,_,0,100,25,0,PEDOT:PSS,,40,PDINO,,,,,,,,0.99,10.3,60.1,6.07,612.8397
415,211,link,10.1016/j.dyepig.2018.08.039,PBDB-T,,,,-5.33,-2.92,-2.41,,FICBF-O,-5.72,-3.85,-1.87,1.81,1:1,CB,,20,_,0,100,25,0,PEDOT:PSS,,40,PDINO,,,,,,,,0.96,10.59,54.5,5.54,554.0688
416,211,link,10.1016/j.dyepig.2018.08.039,PBDB-T,,,,-5.33,-2.92,-2.41,,FICBF,-5.66,-3.88,-1.78,1.72,1:1,CB,,20,_,0,100,80,,PEDOT:PSS,,40,PDINO,,,,,,,,0.87,12.71,67,7.41,740.8659
417,212,link,10.1016/j.orgel.2018.10.042,PTB7-Th,,,,-5.22,-3.64,-1.58,1.58,BT-SFIC,-5.46,-4.04,-1.42,1.44,1:2.5,,,,PN,1.5,,25,0,MoOx,-5.4,,ZnO,-4.4,,1.46E-03,3.08E-04,,,,0.77,18.46,67,9.52,952.3514
418,212,link,10.1016/j.orgel.2018.10.042,PTB7-Th,,,,-5.22,-3.64,-1.58,1.58,BT-FIC,-5.48,-4.1,-1.38,1.39,1:1.5,,,,PN,1.5,,25,0,MoOx,-5.4,,ZnO,-4.4,,8.55E-04,2.04E-04,,,,0.73,21.28,65,10.10,1009.736
423,213,link,10.1016/j.orgel.2018.09.047,PBZ-TS,1.9,18.1,34.39,-5.48,-2.83,-2.65,1.85,ITIC,,,0,,1:1,,,,_,0,,25,0,PEDOT:PSS,,,PDINO,,,7.01E-04,1.46E-04,,,,0.93,16.73,52.1,8.08,810.61869
424,214,link,10.1016/j.dyepig.2017.09.009,PBT1-EH,,,,-5.43,-3.43,-2,1.84,IDTCN,-5.91,-3.94,-1.97,1.67,1:1,CF,2000,7,_,0,110,100,5,PEDOT:PSS,,,ZrAcAc,,10,1.20E-03,2.30E-03,,,,0.93,13.08,70.2,8.69,853.94088
425,215,link,10.1039/C8TC01508B,PBDB-T,,,,-5.49,-3.69,-1.8,,IDT-T,-5.57,-4.01,-1.56,1.56,1:1,CB,3000,15,_,0,90,25,0,MoOx,,10,ZnO,,,1.66E-04,8.19E-06,,,,0.952,11.21,59.62,6.36,636.2598704
426,215,link,10.1039/C8TC01508B,PBDB-T,,,,-5.49,-3.69,-1.8,,IDT-3MT,-5.68,-4.16,-1.52,1.52,1:1,CB,4000,15,_,0,90,25,0,MoOx,,10,ZnO,,,2.07E-05,1.02E-05,,,,0.95,14.43,61.32,8.40,840.60522
427,216,link,10.1002/cjoc.201700809,PBDB-T,,,,-5.33,-3.53,-1.8,,SiIDT-IC,-5.47,-3.78,-1.69,1.69,1:1,CB,,,_,0,,110,10,MoOx,,10,ZnO/PFN-Br,,35,3.42E-04,1.02E-04,,,,0.92,13.53,65.56,8.16,816.064656
428,216,link,10.1002/cjoc.201700809,PBDB-T,,,,-5.33,-3.53,-1.8,,IDIC,-5.53,-3.91,-1.62,1.62,1:1,CB,,,_,0,,110,10,MoOx,,10,ZnO/PFN-Br,,35,,,,,,0.81,16.69,65.36,8.83,883.595304
429,217,link,10.1002/ajoc.201800389,PBDB-T,,,,-5.33,-3.53,-1.8,,IDTBOR,-5.49,-3.93,-1.56,1.56,1:2,CB,,,_,0,100,130,10,MoOx,,10,ZnO/PFN-Br,,35,2.31E-04,3.08E-05,,,,0.89,15.98,54.67,7.74,777.527674
430,217,link,10.1002/ajoc.201800389,PBDB-T,,,,-5.33,-3.53,-1.8,,IDTBSR,-5.41,-3.88,-1.53,1.53,1:2,CB,,,_,0,100,130,10,MoOx,,10,ZnO/PFN-Br,,35,2.20E-04,1.53E-06,,,,0.95,13.95,52.38,6.95,694.16595
431,218,link,10.1016/j.dyepig.2017.12.017,PBDB-T,,,,-5.36,-3.55,-1.81,1.81,TTIC,-5.75,-4.35,-1.4,1.4,1:1.5,DCB,1200,10,DIO,0.15,85,125,5,MoOx,-5.49,8.5,ZnO,-4.14,30,9.24E-05,1.07E-04,,,,0.77,22.26,62,10.61,1062.6924
432,218,link,10.1016/j.dyepig.2017.12.017,PBDB-T,,,,-5.36,-3.55,-1.81,1.81,TTIC-M,-5.68,-4.24,-1.44,1.44,1:1.5,DCB,1200,10,DIO,0.15,86,175,5,MoOx,-5.49,8.5,ZnO,-4.14,30,1.25E-04,1.33E-04,,,,0.8,20.51,70,11.48,1148.56
433,219,link,10.1021/acs.jpclett.8b03247,J52,1.42,18.82,26.7244,-5.39,-5.22,-0.17,1.93,ITIC,-5.54,-4,-1.54,,1:1.5,CF,1500,18,_,0,,25,0,PEDOT:PSS,,,PDINO,,,6.60E-05,,,,,0.803,10.87,43.2,3.78,377.075952
434,219,link,10.1021/acs.jpclett.8b03247,J52-Cl,2.39,25.84,61.7576,-5.53,-5.38,-0.15,1.94,ITIC,-5.54,-4,-1.54,,1:1.5,CF,1500,18,_,0,,25,0,PEDOT:PSS,,,PDINO,,,9.50E-04,,,,,0.956,17.17,70.2,11.53,1152.299304
435,220,link,10.1021/acsenergylett.8b00928,PBDB-T,,,,,,0,,IDTT2F,-5.57,-4.03,-1.54,1.46,1:1,DCB,1500,8,_,0,100,25,0,MoOx,,8,ZnO,,30,1.03E-05,3.10E-06,,,,0.81,18.51,59,8.85,884.5929
436,220,link,10.1021/acsenergylett.8b00928,PBDB-T,,,,,,0,,IDTOT2F,-5.54,-3.94,-1.6,1.44,1:1,DCB,1500,8,_,0,97,25,0,MoOx,,8,ZnO,,30,4.80E-05,4.00E-05,,,,0.85,20.87,72,12.79,1277.244
437,221,link,10.1002/adma.201804790,PBDB-T,,,,,,0,,IDTIC,-5.92,-3.93,-1.99,1.7,1:1,CB,1800,10,DIO,0.7,117,25,0,MoOx,,6,ZnO,,30,,1.07E-03,,,,0.89,10.94,61.9,6.05,602.69554
438,222,link,10.1016/j.cclet.2017.11.018,PBDB-T,,,,-5.33,-3.53,-1.8,,ITIC,-5.66,-3.97,-1.69,1.59,1:1,CB,,20,_,0,98,25,0,PEDOT:PSS,,40,N719:PrC60MAI,,,5.10E-05,3.80E-04,,,,0.897,16.92,65.5,9.94,994.10922
439,222,link,10.1016/j.cclet.2017.11.018,PBDB-T,,,,-5.33,-3.53,-1.8,,ITCT,-5.65,-4.02,-1.63,1.55,1:1,CB,,20,_,0,98,25,0,PEDOT:PSS,,40,N719:PrC60MAI,,,6.10E-05,5.10E-04,,,,0.85,17.88,72.3,10.99,1098.8154
440,223,link,10.1016/j.synthmet.2017.12.005,P3HT,,,,-4.94,-3.06,-1.88,,IDT-RCN,-5.62,-3.75,-1.87,1.54,1:0.8,CB,,14.4,CN,2,100,25,0,PEDOT:PSS,-5.1,30,Ca,-3,10,,,,,,0.69,7.92,63,3.42,344.2824
441,223,link,10.1016/j.synthmet.2017.12.005,P3HT,,,,-4.94,-3.06,-1.88,,IDT-CA,-5.59,-3.64,-1.95,1.66,1:0.8,CB,,14.4,CN,2,100,25,0,PEDOT:PSS,-5.1,30,Ca,-3,10,,,,,,0.84,7.77,64,4.19,417.7152
