HOMO_D_eV,LUMO_D_eV,HOMO_A_eV,LUMO_A_eV,PCE_percent,calc_PCE_percent,Voc_V,Jsc_mA_cm_pow_neg_2,FF_percent
-5.15,-3.58,-5.59,-3.88,7.88,7.885,1.04,14.04,54.0
-5.15,-3.58,-5.58,-3.98,9.76,9.756,1.01,15.58,62.0
-5.18,-3.22,-5.69,-4.07,6.4,6.446,0.6,17.0,63.2
-5.39,-3.41,-5.69,-4.07,9.7,9.671,0.8,17.7,68.3
-5.56,-3.5,-5.69,-4.07,12.8,12.767,0.93,19.2,71.5
-5.46,-3.59,-5.6,-4.05,2.13,2.138,0.95,5.77,39.0
-5.35,-3.58,-5.6,-4.05,9.0,8.779,0.84,16.33,64.0
-5.37,-3.54,-5.6,-4.05,9.21,9.287,0.88,15.52,68.0
-5.33,-3.53,-5.37,-3.76,8.23,8.175,0.86,16.39,58.0
-5.33,-3.53,-5.43,-3.83,9.86,9.9,0.76,20.04,65.0
-5.5,-3.6,-5.78,-4.05,11.0,10.613,0.83,20.2,63.3
-5.59,-3.59,-5.78,-4.05,6.4,6.146,0.88,14.4,48.5
-5.33,-3.63,-5.66,-3.93,8.59,8.586,0.84,15.37,66.5
-5.38,-3.69,-5.66,-3.93,10.18,10.182,0.88,16.25,71.2
-5.38,-3.57,-5.69,-4.07,6.2,6.193,0.72,16.8,51.2
-5.5,-3.64,-5.69,-4.07,11.7,11.711,0.89,20.4,64.5
-5.0,-3.1,-5.62,-3.65,2.1,2.09,0.77,6.14,44.2
-5.55,-3.58,-5.68,-4.13,10.75,10.751,0.91,18.9,62.51
-5.57,-3.59,-5.68,-4.13,11.07,11.076,0.93,20.73,57.45
-5.39,-3.57,-5.51,-3.91,10.52,10.518,0.97,17.02,63.71
-5.39,-3.57,-5.69,-3.91,11.02,10.979,0.87,17.65,71.5
-5.35,-3.67,-5.5,-3.89,10.72,10.719,0.98,18.23,60.0
-5.35,-3.67,-5.6,-4.01,11.19,11.19,0.9,18.64,66.7
-5.35,-3.67,-5.7,-4.12,12.04,12.043,0.88,19.55,70.0
-5.4,-3.24,-5.58,-3.82,12.05,12.047,1.015,16.74,70.9
-5.4,-3.24,-5.59,-3.95,13.25,13.252,0.91,18.48,78.8
-5.4,-3.24,-5.63,-4.06,11.66,11.666,0.803,19.58,74.2
-5.26,-3.46,-5.56,-3.92,11.13,11.127,0.893,17.76,70.16
-5.31,-3.56,-5.56,-3.92,10.57,10.575,0.928,17.24,66.1
-5.32,-3.57,-5.56,-3.92,10.23,10.221,0.935,17.06,64.08
-5.45,-3.5,-5.52,-3.83,9.65,9.587,1.06,15.25,59.31
-5.41,-3.53,-5.52,-3.83,11.15,11.15,0.97,16.57,69.37
-5.3,-3.33,-5.54,-4.05,9.9,9.923,0.75,22.5,58.8
-5.36,-3.58,-5.66,-3.93,10.3,10.304,0.902,16.8,68.0
-5.41,-3.57,-5.66,-3.93,7.88,7.882,0.994,12.2,65.0
-5.33,-2.92,-5.45,-3.65,1.1,0.941,1.03,2.65,34.47
-5.33,-2.92,-5.46,-4.02,1.62,1.322,0.55,5.07,47.41
-5.33,-2.92,-5.42,-3.69,2.0,1.716,1.18,3.71,39.19
-5.22,-3.64,-5.36,-3.92,6.15,6.15,0.67,18.77,48.9
-5.22,-3.64,-5.56,-3.85,9.6,9.607,0.75,20.14,63.6
-5.47,-3.6,-5.64,-4.03,11.19,11.192,0.921,16.4,74.1
-5.33,-2.92,-5.82,-3.92,8.73,8.684,0.9,13.26,72.77
-5.33,-2.92,-5.52,-4.0,7.15,7.281,0.92,14.49,54.62
-5.47,-3.6,-5.58,-4.21,10.2,10.198,0.78,18.84,69.4
-5.6,-3.67,-5.67,-4.16,11.6,11.299,0.92,17.8,69.0
-5.39,-3.65,-5.66,-4.14,9.14,9.169,0.78,21.57,54.5
-5.46,-3.58,-5.66,-4.14,10.51,10.438,0.8,21.53,60.6
-5.46,-3.4,-5.62,-3.96,12.8,12.773,0.94,17.2,79.0
-5.41,-3.42,-5.55,-3.88,5.63,5.591,0.93,12.27,49.0
-5.41,-3.42,-5.57,-3.97,7.27,7.175,0.88,16.64,49.0
-5.41,-3.42,-5.6,-4.0,8.54,8.588,0.84,19.29,53.0
-5.0,-3.1,-5.53,-3.79,2.55,2.552,0.72,5.81,61.0
-5.0,-3.1,-5.34,-3.28,5.64,5.639,0.9,9.64,65.0
-5.0,-3.1,-5.42,-3.6,4.03,4.033,1.0,6.02,67.0
-5.0,-3.1,-5.35,-3.66,4.81,4.811,0.95,7.34,69.0
-5.0,-3.1,-5.76,-3.56,2.46,2.462,1.07,5.35,43.0
-5.0,-3.1,-5.7,-3.57,1.86,1.863,0.9,3.98,52.0
-5.0,-3.1,-6.08,-3.81,0.62,0.624,0.6,2.89,36.0
-5.25,-3.49,-5.48,-3.83,8.03,8.029,0.81,17.7,56.0
-5.23,-3.52,-5.48,-3.83,6.61,6.615,0.75,18.0,49.0
-5.18,-3.38,-5.42,-3.79,9.59,9.46,0.94,15.02,67.0
-5.18,-3.38,-5.72,-4.13,10.85,10.847,0.88,17.36,71.0
-5.18,-3.38,-5.62,-4.04,11.47,11.491,0.87,17.61,75.0
-5.18,-3.38,-5.62,-4.06,12.05,12.047,0.87,18.22,76.0
-5.33,-3.53,-5.49,-3.77,11.63,11.342,0.86,18.16,72.62
-5.33,-3.53,-5.42,-3.81,10.14,10.27,0.91,15.66,72.07
-5.22,-3.64,-5.62,-3.92,10.42,10.349,0.95,15.13,72.0
