Acceptor,SMILES,SMILES w/o R_group replacement,BigSMILES,SELFIES,SMILES w/o R_group
IDT-C6,CCCCCCC1(CCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccc(C)cc5C4=C(C#N)C#N)cc21)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccc(C)cc4C2=C(C#N)C#N)sc1-3,O=C1c2c(C(/C1=C/c1cc(C([R14])([R14])c3c4cc(C([R14])5[R14])c(c6c5cc(/C=C5/C(c7c(C5=O)ccc(C)c7)=C(C#N)/C#N)s6)c3)c4s1)=C(C#N)\C#N)cc(C)cc2, , , 
IDT-PhC6,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6ccc(C)cc6C5=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(/C=C3\C(=O)c5ccc(C)cc5C3=C(C#N)C#N)sc2-4)cc1,O=C1c2c(C(/C1=C/c1cc(C(c3ccc([R14])cc3)(c3ccc([R14])cc3)c3c4cc(C(c5ccc([R14])cc5)5c6ccc([R14])cc6)c(c6c5cc(/C=C5/C(c7c(C5=O)ccc(C)c7)=C(C#N)/C#N)s6)c3)c4s1)=C(C#N)\C#N)cc(C)cc2, , , 
IDCIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c(sc4cc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)sc34)-c3sc4c(c(CCCCCC)cc5c4cc(CCCCCC)c4c6c(sc45)-c4sc5cc(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc5c4C6(c4ccc(CCCCCC)cc4)c4ccc(CCCCCC)cc4)c32)cc1,O=C(c1cc(F)c(F)cc1C/1=C(C#N)/C#N)C1=C/c1sc2c3c(c4sc5c6cc([R14])c(c7c(c8sc9cc(/C=C%10C(c%11cc(F)c(F)cc%11C\%10=C(C#N)\C#N)=O)sc9c8C7(c7ccc([R14])cc7)c7ccc([R14])cc7)s7)c7c6cc([R14])c5c4C3(c3ccc([R14])cc3)c3ccc([R14])cc3)sc2c1, , , 
FDNCTF,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2cc4c(cc21)-c1sc(/C=C2\C(=O)c5cc6ccccc6cc5C2=C(C#N)C#N)cc1C4(CCCCCCCC)CCCCCCCC)C(CCCCCCCC)(CCCCCCCC)c1cc(/C=C2\C(=O)c4cc5ccccc5cc4C2=C(C#N)C#N)sc1-3,O=C1c2c(C(/C1=C/c1cc(C([R2])([R2])c3c4cc(C([R2])([R2])c5cc6c(C([R2])([R2])c7cc(/C=C8C(c9cc%10c(cccc%10)cc9C\8=C(C#N)\C#N)=O)sc67)cc55)c5c3)c4s1)=C(C#N)\C#N)cc1ccccc1c2, , , 
DTNR,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc34)sc2-c2c1ccc1c3c(ccc21)C(CC(CC)CCCC)(CC(CC)CCCC)c1cc(-c2ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc24)sc1-3,O=C(N(CC)C(S/1)=S)C1=C\c1c2nsnc2c(c2sc(c3c4ccc5c(c6sc(c7c8nsnc8c(/C=C8C(N(CC)C(S/8)=S)=O)cc7)cc6C5([R4])[R4])c4ccc3C3([R4])[R4])c3c2)cc1, , , 
DTNIC6,CCCCCCC1(CCCCCC)c2cc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)sc2-c2c1ccc1c3c(ccc21)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,[R14]C1([R14])c2ccc3c(c4sc(/C=C5C(c6ccccc6C\5=C(C#N)\C#N)=O)cc4C4([R14])[R14])c4ccc3c2c2sc(/C=C3C(c4ccccc4C\3=C(C#N)\C#N)=O)cc21, , , 
DTCC-IC,CCCCCCCCOc1ccc(C2(c3ccc(OCCCCCCCC)cc3)c3cc4c5cc6c(cc5n(CCCCCCCC)c4cc3-c3sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc32)-c2sc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)cc2C6(c2ccc(OCCCCCCCC)cc2)c2ccc(OCCCCCCCC)cc2)cc1,O=C1c2c(C(/C1=C/c1cc(C(c3ccc(O[R2])cc3)(c3c4cc5n([R2])c6cc7c(C(c8ccc(O[R2])cc8)(c8ccc(O[R2])cc8)c8cc(/C=C9C(c%10cc(F)c(F)cc%10C\9=C(C#N)\C#N)=O)sc78)cc6c5c3)c3ccc(O[R2])cc3)c4s1)=C(C#N)\C#N)cc(F)c(F)c2, , , 
DNIT-TT2T,CCCCCCc1ccc(-c2c(-c3ccc(-c4ccc5c6c(cccc46)C(=O)N(CC(CC)CCCC)C5=O)s3)sc3c(-c4ccc(CCCCCC)s4)c(-c4ccc(-c5ccc6c7c(cccc57)C(=O)N(CC(CC)CCCC)C6=O)s4)sc23)s1,[R14]c1sc(c2c(c3sc(c4ccc5c6c(C(N([R4])C5=O)=O)cccc46)cc3)sc3c(c4sc([R14])cc4)c(c4sc(c5ccc6c7c(C(N([R4])C6=O)=O)cccc57)cc4)sc23)cc1, , , 
PY-1,CCCCCCCCCC(CCCCCCC)n1c2cc(-c3sc(-c4sc(/C=C5\C(=O)N(CCCC)C(=O)C(C#N)C5C)cc4CCCCCC)cc3CCCCCC)sc2c2sc(-c3sc(-c4sc(/C=C5\C(=O)N(CCCC)C(=O)C(C#N)C5C)cc4CCCCCC)cc3CCCCCC)cc21,[R21]n1c2cc(c3c([R14])cc(c4c([R14])cc(/C=C5C(N(C(C(C\5C)C#N)=O)CCCC)=O)s4)s3)sc2c2sc(c3sc(c4sc(/C=C5C(C)C(C#N)C(N(CCCC)C/5=O)=O)cc4[R14])cc3[R14])cc21, , , 
DCI-2,CCCCCCCCCC(CCCCCCC)n1c2cc(-c3sc(-c4sc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)cc4CCCCCC)cc3CCCCCC)sc2c2sc(-c3sc(-c4sc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)cc4CCCCCC)cc3CCCCCC)cc21,[R21]n1c(cc(c2c([R14])cc(c(sc(/C=C3C(c4ccccc4C\3=C(C#N)\C#N)=O)c3)c3[R14])s2)s2)c2c2sc(c3sc(c4sc(/C=C5/C(c6c(C5=O)cccc6)=C(C#N)\C#N)cc4[R14])cc3[R14])cc21, , , 
DC-IDT2F,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(-c4ccc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)o4)ccc3-c3cc4c(cc32)-c2ccc(-c3ccc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)o3)cc2C4(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,O=C1c2c(C(/C1=C/c1ccc(c3cc(C(c4ccc([R14])cc4)(c4ccc([R14])cc4)c4c5cc(C(c6ccc([R14])cc6)(c6cc(c7ccc(/C=C8/C(c9c(C8=O)cccc9)=C(C#N)/C#N)o7)ccc66)c7ccc([R14])cc7)c6c4)c5cc3)o1)=C(C#N)\C#N)cccc2, , , 
IM-IDT,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc6c(c5)N(CC(CC)CCCC)C(=O)C6=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc5c(c3)N(CC(CC)CCCC)C(=O)C5=C(C#N)C#N)sc2-4)cc1,[R14]c1ccc(C(c2c3sc(c4ccc5c(N([R4])C(/C5=C(C#N)/C#N)=O)c4)c2)(c2c3cc(C(c3ccc([R14])cc3)3c4ccc([R14])cc4)c(c4c3cc(c3ccc5c(N([R4])C(/C5=C(C#N)/C#N)=O)c3)s4)c2)c2ccc([R14])cc2)cc1, , , 
TIM-IDT,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5cc6c(s5)C(=C(C#N)C#N)C(=O)N6CC(CC)CCCC)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3cc5c(s3)C(=C(C#N)C#N)C(=O)N5CC(CC)CCCC)sc2-4)cc1,[R14]c1ccc(C(c2c3sc(c4sc5c(N([R4])C(/C5=C(C#N)/C#N)=O)c4)c2)(c2c3cc(C(c3ccc([R14])cc3)3c4ccc([R14])cc4)c(c4c3cc(c3sc5c(N([R4])C(/C5=C(C#N)/C#N)=O)c3)s4)c2)c2ccc([R14])cc2)cc1, , , 
COTIC-4F,CCCCC(CC)COc1cc(/C=C2\C(=O)c3ccccc3C2=C(C#N)C#N)sc1-c1cc2c(s1)-c1sc(-c3sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc3OCC(CC)CCCC)cc1C2(CC(CC)CCCC)CC(CC)CCCC,O=C(c1ccccc1C/1=C(C#N)/C#N)C1=C/c1sc(c2cc3c(c4sc(c5c(O[R4])cc(/C=C6/C(c7c(C6=O)cccc7)=C(C#N)/C#N)s5)cc4C3([R4])[R4])s2)c(O[R4])c1, , , 
SiOTIC-4F,CCCCC(CC)COc1cc(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc1-c1cc2c(s1)-c1sc(-c3sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc3OCC(CC)CCCC)cc1[Si]2(CC(CC)CCCC)CC(CC)CCCC,O=C(c1cc(F)c(F)cc1C/1=C(C#N)/C#N)C1=C/c1sc(c2cc3c(c4sc(c5c(O[R4])cc(/C=C6/C(c7c(C6=O)cc(F)c(F)c7)=C(C#N)/C#N)s5)cc4[Si]3([R4])[R4])s2)c(O[R4])c1, , , 
,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(/C=C3\C(=O)c5ccccc5C3=C(C#N)C#N)sc2-4)cc1,O=C1c2c(C(/C1=C/c1sc3c(C(c4ccc([R14])cc4)(c4ccc([R14])cc4)c4c3cc(C(c3ccc([R14])cc3)3c5ccc([R14])cc5)c(c5c3cc(/C=C3/C(c6c(C3=O)cccc6)=C(C#N)/C#N)s5)c4)c1)=C(C#N)\C#N)cccc2, , , 
IDIC-4F,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(/C=C3\C(=O)c5cc(F)c(F)cc5C3=C(C#N)C#N)sc2-4)cc1,O=C1c2c(C(/C1=C/c1cc(C(c3ccc([R14])cc3)(c3ccc([R14])cc3)c3c4cc(C(c5ccc([R14])cc5)5c6ccc([R14])cc6)c(c6c5cc(/C=C5/C(c7c(C5=O)cc(F)c(F)c7)=C(C#N)/C#N)s6)c3)c4s1)=C(C#N)\C#N)cc(F)c(F)c2, , , 
IDIC-4Cl,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6cc(Cl)c(Cl)cc6C5=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(/C=C3\C(=O)c5cc(Cl)c(Cl)cc5C3=C(C#N)C#N)sc2-4)cc1,O=C1c2c(C(/C1=C/c1cc(C(c3ccc([R14])cc3)(c3ccc([R14])cc3)c3c4cc(C(c5ccc([R14])cc5)5c6ccc([R14])cc6)c(c6c5cc(/C=C5/C(c7c(C5=O)cc(Cl)c(Cl)c7)=C(C#N)/C#N)s6)c3)c4s1)=C(C#N)\C#N)cc(Cl)c(Cl)c2, , , 
BDTThIT-M,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5ccc(C)cc5C4=C(C#N)C#N)sc3-c3sc4cc5c6c(sc5cc4c32)-c2sc(/C=C3\C(=O)c4ccc(C)cc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,O=C(c1ccc(C)cc1C/1=C(C#N)/C#N)C1=C/c1cc2c(c3sc4cc5c6c(c7c(C6(c6ccc([R14])cc6)c6ccc([R14])cc6)cc(/C=C6C(c8ccc(C)cc8C\6=C(C#N)\C#N)=O)s7)sc5cc4c3C2(c2ccc([R14])cc2)c2ccc([R14])cc2)s1, , , 
BDTIT-M,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5ccc(C)cc5C4=C(C#N)C#N)sc3-c3sc4c(-c5ccc(CC(CC)CCCC)s5)c5c6c(sc5c(-c5ccc(CC(CC)CCCC)s5)c4c32)-c2sc(/C=C3\C(=O)c4ccc(C)cc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,O=C(c1ccc(C)cc1C/1=C(C#N)/C#N)C1=C/c1cc2c(c3sc4c(c5sc([R4])cc5)c5c6c(c7c(C6(c6ccc([R14])cc6)c6ccc([R14])cc6)cc(/C=C6C(c8ccc(C)cc8C\6=C(C#N)\C#N)=O)s7)sc5c(c5sc([R4])cc5)c4c3C2(c2ccc([R14])cc2)c2ccc([R14])cc2)s1, , , 
TTIC-F,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(C=C4C(=O)c5cc(F)ccc5C4=C(C#N)C#N)sc3-c3sc4c5c(sc4c32)-c2sc(C=C3C(=O)c4cc(F)ccc4C3=C(C#N)C#N)cc2C5(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc(C=C4C(=O)c5cc(F)ccc5C4=C(C#N)C#N)sc3c3sc4c5c(sc4c32)c2sc(C=C3C(=O)c4cc(F)ccc4C3=C(C#N)C#N)cc2C5(c2ccc([R14])cc2)c2ccc([R14])cc2)cc1, , , 
BDT-IC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3sc4cc5c6c(sc5cc4c32)-c2sc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,O=C(c1ccccc1C/1=C(C#N)/C#N)C1=C/c1cc2c(c3sc4cc5c6c(c7c(C6(c6ccc([R14])cc6)c6ccc([R14])cc6)cc(/C=C6C(c8ccccc8C\6=C(C#N)\C#N)=O)s7)sc5cc4c3C2(c2ccc([R14])cc2)c2ccc([R14])cc2)s1, , , 
IFT-M,CCCCCCC1(CCCCCC)c2cc(-c3ccc(C=C(C#N)C#N)s3)ccc2-c2cc3c(cc21)-c1ccc(-c2ccc(C=C(C#N)C#N)s2)cc1C3(CCCCCC)CCCCCC,[R14]C1([R14])c2cc(c3sc(/C=C(C#N)/C#N)cc3)ccc2c2cc3c(c4ccc(c5sc(/C=C(C#N)/C#N)cc5)cc4C([R14])3[R14])cc21, , , 
IFT-ECA,CCCCCCC1(CCCCCC)c2cc(-c3ccc(/C=C(\C#N)C(=O)OCC)s3)ccc2-c2cc3c(cc21)-c1ccc(-c2ccc(/C=C(\C#N)C(=O)OCC)s2)cc1C3(CCCCCC)CCCCCC,[R14]C1([R14])c2cc(c3sc(/C=C(C#N)/C(OCC)=O)cc3)ccc2c2cc3c(c4ccc(c5sc(/C=C(C#N)/C(OCC)=O)cc5)cc4C([R14])3[R14])cc21, , , 
IFT-IC,CCCCCCC1(CCCCCC)c2cc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)ccc2-c2cc3c(cc21)-c1ccc(-c2ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s2)cc1C3(CCCCCC)CCCCCC,[R14]C1([R14])c2cc(c3sc(/C=C4C(c5ccccc5C\4=C(C#N)\C#N)=O)cc3)ccc2c2cc3c(c4ccc(c5sc(/C=C6C(c7ccccc7C\6=C(C#N)\C#N)=O)cc5)cc4C([R14])3[R14])cc21, , , 
IFT-TH,CCCCCCC1(CCCCCC)c2cc(-c3ccc(C=C4C(=O)N(CC)C(=S)N(CC)C4=O)s3)ccc2-c2cc3c(cc21)-c1ccc(-c2ccc(C=C4C(=O)N(CC)C(=S)N(CC)C4=O)s2)cc1C3(CCCCCC)CCCCCC,[R14]C1([R14])c2cc(c3sc(/C=C4C(N(CC)C(N(CC)C\4=O)=S)=O)cc3)ccc2c2cc3c(c4ccc(c5sc(/C=C6C(N(CC)C(N(CC)C\6=O)=S)=O)cc5)cc4C([R14])3[R14])cc21, , , 
CzC6C8,CCCCCCCCC(CCCCCC)Cn1c2cc(-c3ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc34)ccc2c2ccc(-c3ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc34)cc21,S=C(N(C/1=O)CC)SC1=C/c1c2nsnc2c(c2ccc3c4ccc(c5ccc(/C=C6C(N(CC)C(S/6)=S)=O)c6c5nsn6)cc4n([R1])c3c2)cc1, , , 
CzC8,CCCCCCCCn1c2cc(-c3ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc34)ccc2c2ccc(-c3ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc34)cc21,S=C(S/C1=C\C2=CC=C(C3=CC=C4C5=CC=C(C=C5N(C4=C3)[R2])C6=CC=C(C7=NSN=C76)/C=C8C(N(C(S/8)=S)CC)=O)C9=NSN=C29)N(CC)C1=O, , , 
IDTC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5sc(/C=C6\C(=O)c7cscc7C6=C(C#N)C#N)cc5CC(CC)CCCC)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3sc(/C=C5\C(=O)c6cscc6C5=C(C#N)C#N)cc3CC(CC)CCCC)sc2-4)cc1,O=C1c2cscc2C(/C1=C/c1cc([R4])c(c2sc3c(C(c4ccc([R14])cc4)(c4ccc([R14])cc4)c4c3cc(C(c3ccc([R14])cc3)3c5ccc([R14])cc5)c(c5c3cc(c3c([R4])cc(/C=C6/C(c7cscc7C6=O)=C(C#N)\C#N)s3)s5)c4)c2)s1)=C(C#N)/C#N, , , 
IDTO,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5sc(/C=C6\C(=O)c7cscc7C6=C(C#N)C#N)cc5OCC(CC)CCCC)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3sc(/C=C5\C(=O)c6cscc6C5=C(C#N)C#N)cc3OCC(CC)CCCC)sc2-4)cc1,O=C1c2cscc2C(/C1=C/c1cc(O[R4])c(c2cc(C(c3ccc([R14])cc3)(c3ccc([R14])cc3)c3c4cc(C(c5ccc([R14])cc5)5c6ccc([R14])cc6)c(c6c5cc(c5c(O[R4])cc(/C=C7/C(c8cscc8C7=O)=C(C#N)\C#N)s5)s6)c3)c4s2)s1)=C(C#N)/C#N, , , 
BTA7,CCCCCCCCn1nc2c(C=C(C#N)C#N)ccc(-c3cc4c(s3)-c3cc5c(cc3C4(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)-c3sc(-c4ccc(C=C(C#N)C#N)c6nn(CCCCCCCC)nc46)cc3C5(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)c2n1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc(c4c(C(c5ccc([R14])cc5)5c6ccc([R14])cc6)cc(c6c7nn([R2])nc7c(/C=C(C#N)/C#N)cc6)s4)c5cc3c3c2cc(c2c4nn([R2])nc4c(/C=C(C#N)/C#N)cc2)s3)cc1, , , 
BT2,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=C6/SC(=O)N(CC)C6=O)c6nsnc56)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc(/C=C5/SC(=O)N(CC)C5=O)c5nsnc35)sc2-4)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc(c4c(C(c5ccc([R14])cc5)5c6ccc([R14])cc6)cc(c6c7nsnc7c(/C=C7C(N(CC)C(S\7)=O)=O)cc6)s4)c5cc3c3c2cc(c2c4nsnc4c(/C=C4C(N(CC)C(S\4)=O)=O)cc2)s3)cc1, , , 
BT2b,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2sc(-c4ccc(/C=C5/SC(=O)N(CC)C5=O)c5nsnc45)cc21)C(CCCCCCCC)(CCCCCCCC)c1cc(-c2ccc(/C=C4/SC(=O)N(CC)C4=O)c4nsnc24)sc1-3,[R2]C1([R2])c2cc(c3c(C([R2])4[R2])cc(c5c6nsnc6c(/C=C6C(N(CC)C(S\6)=O)=O)cc5)s3)c4cc2c2c1cc(c1c3nsnc3c(/C=C3C(N(CC)C(S\3)=O)=O)cc1)s2, , , 
CDTCN,CCCCCCCCn1c2cc3c(cc2c2cc4c(cc21)-c1sc(-c2ccc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)s2)cc1C4(c1ccc(CCCCCC)cc1)c1ccc(CCCCCC)cc1)C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1cc(-c2ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s2)sc1-3,O=C1c2c(C(/C1=C/c1ccc(c3sc(c4cc5n([R2])c6cc(c7sc(c8sc(/C=C9C(c%10ccccc%10C\9=C(C#N)\C#N)=O)cc8)cc7C7(c8ccc([R14])cc8)c8ccc([R14])cc8)c7cc6c5cc4C4(c5ccc([R14])cc5)c5ccc([R14])cc5)c4c3)s1)=C(C#N)/C#N)cccc2, , , 
BTA100,CCCCCCCCn1nc2c(/C=C3/SC(=O)N(CC)C3=O)c(OC)c(OC)c(-c3cc4c(s3)-c3cc5c(cc3C4(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)-c3sc(-c4c(OC)c(OC)c(/C=C6/SC(=O)N(CC)C6=O)c6nn(CCCCCCCC)nc46)cc3C5(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)c2n1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c(c4cc5c(c6sc(c7c(OC)c(OC)c(/C=C8C(N(CC)C(S\8)=O)=O)c8c7nn([R2])n8)cc6C(c6ccc([R14])cc6)5c5ccc([R14])cc5)cc42)sc(c2c(OC)c(OC)c(/C=C4C(N(CC)C(S\4)=O)=O)c4c2nn([R2])n4)c3)cc1, , , 
BTA101,CCCCCCCCn1nc2c(/C=C3/SC(=S)N(CC)C3=O)c(OC)c(OC)c(-c3cc4c(s3)-c3cc5c(cc3C4(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)-c3sc(-c4c(OC)c(OC)c(/C=C6/SC(=S)N(CC)C6=O)c6nn(CCCCCCCC)nc46)cc3C5(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)c2n1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c(c4cc5c(c6sc(c7c(OC)c(OC)c(/C=C8C(N(CC)C(S\8)=S)=O)c8c7nn([R2])n8)cc6C(c6ccc([R14])cc6)5c5ccc([R14])cc5)cc42)sc(c2c(OC)c(OC)c(/C=C4C(N(CC)C(S\4)=S)=O)c4c2nn([R2])n4)c3)cc1, , , 
BTA103,CCCCCCCCn1nc2c(/C=c3/sc(=C(C#N)C#N)n(CC)c3=O)c(OC)c(OC)c(-c3cc4c(s3)-c3cc5c(cc3C4(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)-c3sc(-c4c(OC)c(OC)c(/C=c6/sc(=C(C#N)C#N)n(CC)c6=O)c6nn(CCCCCCCC)nc46)cc3C5(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)c2n1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c(c4cc5c(c6sc(c7c(OC)c(OC)c(/C=C8C(N(CC)/C(S\8)=C(C#N)/C#N)=O)c8c7nn([R2])n8)cc6C(c6ccc([R14])cc6)5c5ccc([R14])cc5)cc42)sc(c2c(OC)c(OC)c(/C=C4C(N(CC)/C(S\4)=C(C#N)/C#N)=O)c4c2nn([R2])n4)c3)cc1, , , 
4TIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3sc4c5c(sc4c32)-c2sc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)cc2C5(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,O=C1c2c(C(/C1=C/c1cc(C(c3ccc([R14])cc3)(c3ccc([R14])cc3)c3c4sc(c5c6cc(/C=C7/C(c8c(C7=O)cccc8)=C(C#N)\C#N)s5)c(C6(c5ccc([R14])cc5)c5ccc([R14])cc5)c4sc33)c3s1)=C(C#N)/C#N)cccc2, , , 
COi8DFIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)Oc3c(sc4c5c(sc34)-c3sc4cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc4c3C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)O5)-c3sc4cc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)sc4c32)cc1,O=C(c1cc(F)c(F)cc1C/1=C(C#N)/C#N)C1=C/c1cc(sc(c2sc3c4c(c5c(C(c6ccc([R14])cc6)(O4)c4ccc([R14])cc4)c4sc(/C=C6/C(c7c(C6=O)cc(F)c(F)c7)=C(C#N)\C#N)cc4s5)sc3c2O2)c3C2(c2ccc([R14])cc2)c2ccc([R14])cc2)c3s1, , , 
IDT-2BR1,CCCCCCC1(CCCCCC)c2cc3c(cc2-c2sc(-c4ccc(/C=C5\SC(=S)N(CC)C5=O)c5nsnc45)cc21)C(CCCCCC)(CCCCCC)c1cc(-c2ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc24)sc1-3,S=C(N(C/1=O)CC)SC1=C/c1c2nsnc2c(c2cc3c(c4cc5c(c6c(C([R14])5[R14])cc(c5c7nsnc7c(/C=C7SC(N(C\7=O)CC)=S)cc5)s6)cc4C3([R14])[R14])s2)cc1, , , 
ATT-2,CCCCCCCCOC(=O)c1cc2c(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)sc(-c3cc4c(s3)-c3cc5c(cc3C4(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)-c3sc(-c4sc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)c6cc(C(=O)OCCCCCCCC)sc46)cc3C5(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)c2s1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc(c4c(C(c5ccc([R14])cc5)5c6ccc([R14])cc6)cc(c6c7sc(C(O[R2])=O)cc7c(/C=C7C(c8ccccc8C\7=C(C#N)\C#N)=O)s6)s4)c5cc3c3c2cc(c2c4sc(C(O[R2])=O)cc4c(/C=C4C(c5ccccc5C\4=C(C#N)\C#N)=O)s2)s3)cc1, , , 
